DOI,Title,Publication Date,Description,Creators,type,License,URL
10.5281/zenodo.15408126,LUCA2Practice - Implementation digitaler Lernumgebungen in die Berufsbildungspraxis,2025-02-12,"In der siebten Veranstaltung der Ringvorlesung &bdquo;Around the W&Ouml;RLD&ldquo; im Rahmen des vom BMBF gef&ouml;rderten Projekts &bdquo;W&Ouml;RLD &ndash; Wirtschaftsp&auml;dagogik und &Ouml;konomische Bildung: Lehrkr&auml;ftebildung und Unterricht digital&ldquo; stellen Prof. Dr. J&uuml;rgen Seifried und Sophia Gentner von der Universit&auml;t Mannheim die B&uuml;rosimulation LUCA und das Projekt LUCA2Practice vor. Sie gew&auml;hren Einblicke in das Lehren und Lernen mit realit&auml;tsnahen Arbeitsszenarien innerhalb der LUCA-Office-Oberfl&auml;che und zeigen Optionen f&uuml;r das Monitoring von Lernfortschritten sowie die Entwicklung eigener Szenarien auf. Abschlie&szlig;end werden der Einf&uuml;hrungsworkshop zur unterrichtlichen Nutzung von LUCA, eine neue Selbstlernumgebung f&uuml;r Lehrkr&auml;fte f&uuml;r den Einstieg in LUCA sowie begleitende Unterrichtsmaterialien vorgestellt.","Seifried, Jürgen, Gentner, Sophia",video,cc-by-sa-4.0,https://zenodo.org/records/15408126
10.5281/zenodo.3482775,Uncovering the Semantics of Wikipedia Categories - Axioms and Assertions,2019-10-11,"Resulting axioms and assertions from applying the Cat2Ax approach to the DBpedia knowledge graph.<br> The methodology is described in the conference publication &quot;N. Heist, H. Paulheim: Uncovering the Semantics of Wikipedia Categories, International Semantic Web Conference, 2019&quot;.","Heist, Nicolas, Paulheim, Heiko",dataset,mit-license,https://zenodo.org/records/3482775
10.5281/zenodo.8208246,Data Set: Promoting Open Science in Test-Driven Software Experiments,2023-08-02,Data set for reproduction purposes (tabular data is stored using Apache&#39;s Parqet format).,"Marcus Kessel, Colin Atkinson",dataset,cc-by-4.0,https://zenodo.org/records/8208246
10.5281/zenodo.8068322,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,2023-06-22,"CaLiGraph is a large-scale semantic knowledge graph with a rich ontology which is compiled from the DBpedia ontology, and Wikipedia categories &amp; list pages. For more information, visit http://caligraph.org  Information about uploaded files:<br> (all files are b-zipped and in the n-triple format)<br> <br> <strong>caligraph-metadata.nt.bz2</strong><br> Metadata about the dataset which is described using void vocabulary.  <strong>caligraph-ontology.nt.bz2</strong><br> Class definitions, property definitions, restrictions,&nbsp;and labels of the CaLiGraph ontology.  <strong>caligraph-ontology_dbpedia-mapping.nt.bz2</strong><br> Mapping of classes and properties to the DBpedia ontology.  <strong>caligraph-ontology_provenance.nt.bz2</strong><br> Provenance information about classes (i.e. which Wikipedia category or list page has been used to create this class).  <strong>caligraph-instances_types.nt.bz2</strong><br> Definition of instances and (non-transitive) types.  <strong>caligraph-instances_transitive-types.nt.bz2</strong><br> Transitive types for instances (can also be induced by a reasoner).  <strong>caligraph-instances_labels.nt.bz2</strong><br> Labels for instances.  <strong>caligraph-instances_relations.nt.bz2</strong><br> Relations between instances derived from the class restrictions of the ontology (can also be induced by a reasoner).  <strong>caligraph-instances_dbpedia-mapping.nt.bz2</strong><br> Mapping of instances to respective DBpedia instances.  <strong>caligraph-instances_provenance.nt.bz2</strong><br> Provenance information about instances (e.g.&nbsp;if the instance has been extracted from a Wikipedia list page).  <strong>dbpedia_caligraph-instances.nt.bz2</strong><br> Additional instances of CaLiGraph that are not in DBpedia.<br> ! This file is no part of CaLiGraph but should rather be used as an extension to DBpedia. The triples use the DBpedia namespace and&nbsp;can thus be used to directly extend DBpedia.&nbsp;!  <strong>dbpedia_caligraph-types.nt.bz2</strong><br> Additional types of CaLiGraph that are not in DBpedia.<br> ! This file is no part of CaLiGraph but should rather be used as an extension to DBpedia. The triples use the DBpedia namespace and&nbsp;can thus be used to directly extend DBpedia.&nbsp;!  <strong>dbpedia_caligraph-relations.nt.bz2</strong><br> Additional relations of CaLiGraph that are not in DBpedia.<br> ! This file is no part of CaLiGraph but should rather be used as an extension to DBpedia. The triples use the DBpedia namespace and&nbsp;can thus be used to directly extend DBpedia.&nbsp;!  &nbsp;  <strong>Changelog</strong>  v3.1.1  <ul> 	<li>Fixed an encoding issue in caligraph-ontology.nt.bz2</li> </ul>  v3.1.0  <ul> 	<li>Fixed several issues related to ontology consistency and structure</li> </ul>  v3.0.0  <ul> 	<li>Added functionality to group mentions of unknown entities into distinct entities</li> </ul>  v2.1.0  <ul> 	<li>Fixed error that lead to a class inheriting from a disjoint class</li> 	<li>Introduced owl:ObjectProperty&nbsp;and owl:DataProperty&nbsp;instead of rdf:Property</li> 	<li>Several cosmetic fixes</li> </ul>  v2.0.2  <ul> 	<li>Fixed incorrect formatting of some properties</li> </ul>  v2.0.1  <ul> 	<li>Better entity extraction and representation</li> 	<li>Small cosmetic fixes</li> </ul>  v2.0.0  <ul> 	<li>Entity extraction from arbitrary tables and enumerations in Wikipedia pages</li> </ul>  v1.4.0  <ul> 	<li>BERT-based recognition of subject entities and improved language models from spaCy 3.0</li> </ul>  v1.3.1  <ul> 	<li>Fixed minor encoding errors and improved formatting</li> </ul>  v1.3.0  <ul> 	<li>CaLiGraph is now based on a recent version of Wikipedia and DBpedia from November 2020</li> </ul>  v1.1.0  <ul> 	<li>Improved the CaLiGraph type hierarchy</li> 	<li>Many small bugfixes and improvements</li> </ul>  v1.0.9  <ul> 	<li>Additional alternative labels for CaLiGraph instances</li> </ul>  v1.0.8  <ul> 	<li>Small cosmetic changes to URIs to be closer to DBpedia URIs</li> </ul>  v1.0.7  <ul> 	<li>Mappings from CaLiGraph classes to DBpedia classes are now realised via rdfs:subClassOf instead of owl:equivalentClass</li> 	<li>Entities are now URL-encoded to improve accessibility</li> </ul>  v1.0.6  <ul> 	<li>Fixed a bug in the ontology creation step that led to a substantially lower amount of sub-type relationships than actually exist. The new version provides a richer type hierarchy that also leads to an increased amount of types for resources.</li> </ul>  v1.0.5  <ul> 	<li>Fixed a bug that has declared CaLiGraph predicates as subclasses of owl:Predicate instead of being of the type owl:Predicate.</li> </ul>","Heist, Nicolas, Paulheim, Heiko",dataset,cc-by-4.0,https://zenodo.org/records/8068322
10.5281/zenodo.7817022,Gollum: A Gold Standard for Large Scale\\Multi Source Knowledge Graph Matching,2022-05-06,"The set of Knowledge Graphs (KGs) generated with automatic and manual approaches is constantly growing.<br> For an integrated view and usage, an alignment between these KGs is necessary on the schema as well as instance level.<br> There are already approaches which try to tackle this multi source knowledge graph matching problem,<br> but large gold standards are missing to evaluate their effectiveness and scalability.<br> In particular, most existing gold standards are fairly small and can be solved by matchers which match exactly two KGs (1:1), which are the majority of existing matching systems.<br> <br> We close this gap by presenting Gollum&nbsp;-- a gold standard for large-scale multi source knowledge graph matching with over 275,000 correspondences between 4,149 different KGs.<br> They originate from knowledge graphs derived by applying the DBpedia extraction framework to a large wiki farm.<br> <br> Three variations of the gold standard are made available:<br> (1) a version with all correspondences for evaluating unsupervised matching approaches, and two versions for evaluating supervised matching: (2) one where each KG is contained both in the train and test set, and (3) one where each KG is exclusively contained in the train or the test set.  <br> We plan to extend our KG track at the Ontology Alignment Evaluation Initiative (OAEI) to allow for matching systems&nbsp;<br> which are specifically designed to solve the multi KG matching problem.<br> As a first step towards this direction, we evaluate multi source matching approaches which reuse two-KG (1:1) matchers from the past OAEI.  &nbsp;  Due to the size of the KG files, they are hosted at the institute:  <a href=""http://data.dws.informatik.uni-mannheim.de/dbkwik/gollum/40K.tar"">http://data.dws.informatik.uni-mannheim.de/dbkwik/gollum/40K.tar</a>&nbsp; &nbsp; (50,3 GB)<br> <a href=""http://data.dws.informatik.uni-mannheim.de/dbkwik/gollum/all.tar"">http://data.dws.informatik.uni-mannheim.de/dbkwik/gollum/all.tar</a>&nbsp; &nbsp; &nbsp; (74,7 GB)<br> <a href=""http://data.dws.informatik.uni-mannheim.de/dbkwik/gollum/gold.tar"">http://data.dws.informatik.uni-mannheim.de/dbkwik/gollum/gold.tar</a>&nbsp; &nbsp;(25,3 GB)","Herting,Sven, Paulheim,Heiko",dataset,cc-by-3.0,https://zenodo.org/records/7817022
10.5281/zenodo.3479126,Uncovering the Semantics of Wikipedia Categories - Code,2019-10-10,A tool to uncover the semantics of Wikipedia categories by learning relation and type axioms to enrich the ontology of a Wikipedia-based knowledge graph,"Heist, Nicolas, Paulheim, Heiko",software,mit-license,https://zenodo.org/records/3479126
10.5281/zenodo.6962676,Diversity-Driven Unit Test Generation (Data Set),2022-08-04,"The goal of automated unit test generation tools is to create a set of test cases for the software under test that achieve the highest possible coverage for the selected test quality criteria. The most&nbsp;effective approaches for achieving this goal at the present time use meta-heuristic optimization&nbsp;algorithms to search for new test cases using fitness functions defined on existing sets of test<br> cases and the system under test. Regardless of how their search algorithms are controlled, however, all existing approaches focus on the analysis of exactly one implementation, the software&nbsp;under test, to drive their search processes, which is a limitation on the information they have&nbsp;available. In this paper we investigate whether the practical effectiveness of white box unit test&nbsp;generation tools can be increased by giving them access to multiple, diverse implementations&nbsp;of the functionality under test harvested from widely available Open Source software repositories. After presenting a basic implementation of such an approach, DivGen (Diversity-driven&nbsp;Generation), on top of the leading test generation tool for Java (EvoSuite), we assess the performance of DivGen compared to EvoSuite when applied in its traditional, mono-implementation&nbsp;oriented mode (MonoGen). The results show that while DivGen outperforms MonoGen in 33%&nbsp;of the sampled classes for mutation coverage (+16% higher on average), MonoGen outperforms<br> DivGen in 12.4% of the classes for branch coverage (+10% higher average).","Kessel, Marcus, Atkinson, Colin",dataset,cc-by-4.0,https://zenodo.org/records/6962676
10.5281/zenodo.6509715,DLCC Gold Standard,2022-05-01,"Corresponding GitHub repository: <a href=""https://github.com/janothan/DL-TC-Generator"">DL-TC-Generator on GitHub</a>  &nbsp;  <strong>Abstract</strong>  Knowledge graph embedding is a representation learning technique which projects entities and relations in a knowledge graph to continuous vector spaces.<br> Embeddings have gained a lot of uptake and have been heavily used in link prediction and other downstream prediction tasks.<br> Most approaches are evaluated on a single task or a single group of tasks to determine their overall performance. The evaluation is then assessed in terms of how well the embedding approach performs on the task at hand, but it is hardly evaluated (and often not even deeply understood) what information the embedding approaches are <em>actually</em> learning to represent.  To fill this gap, we present the DLCC (Description Logic Class Constructors) benchmark, a resource to analyze embedding approaches in terms of which kinds of classes they can represent. Two gold standards are presented, one based on the real world knowledge graph DBpedia, and one synthetic gold standard.","Portisch, Jan, Paulheim, Heiko",dataset,cc-by-4.0,https://zenodo.org/records/6509715
10.5281/zenodo.7777506,"Dataset for Manually Coded Firm Founding Dates, CEO Duality, and CEO Photograph Prominence in Annual Reports",2021-06-01,"In this dataset, we wish to make available some measures which we manually coded as part of our PhDs.&nbsp;It contains manually coded information on S&amp;P1500 firms and their CEOs, specifically, the firm&rsquo;s founding year, whether the CEO is simultaneously chairperson of the board (CEO duality), and the prominence of the CEO in photographs in the firm&rsquo;s annual report. More information can be found in the attached documentation. Both authors contributed equally to the creation of this dataset.  Since this is the first version of this dataset, we are happy about any feedback, corrections, or additions. Please reach out to us in case you spot any irregularities or have questions via mappels@mail.uni-mannheim.de or&nbsp;mkowalzi@staff.mail.uni-mannheim.de.&nbsp;  &nbsp;  The creation of this dataset was supported by the <a href=""https://de.wikiversity.org/wiki/Wikiversity:Fellow-Programm_Freies_Wissen"">Fellowship Freies Wissen</a> of the Wikimedia Foundation. More information on the project can be found <a href=""https://de.wikiversity.org/wiki/Wikiversity:Fellow-Programm_Freies_Wissen/Einreichungen/Lowering_the_Barriers_for_Young_Strategy_Scholars:_An_Open-Access_Database_for_Manually_Computed_Variables_of_Strategy_Research"">here</a>.","Moritz Appels, Marc Kowalzick",dataset,cc-by-4.0,https://zenodo.org/records/7777506
10.5281/zenodo.1174041,Improving Hypernymy Extraction with Distributional Semantic Classes,2018-02-16,"In this paper, we show for the first time how distributionally-induced semantic classes can be helpful for extraction of hypernyms. We &nbsp;present a method for (1) inducing sense-aware semantic classes using distributional semantics and (2) using these induced semantic classes for filtering noisy hypernymy relations. Denoising of hypernyms is performed by labeling each semantic class with its hypernyms. On one hand, this allows us to filter out wrong extractions using the global structure of the distributionally similar senses. On the other hand, we infer missing hypernyms via label propagation to cluster terms. We conduct a large-scale crowdsourcing study showing that processing of automatically extracted hypernyms using our approach improves the quality of the hypernymy extraction both in terms of precision and recall. Furthermore, we show the utility of our method in the domain taxonomy induction task, achieving the state-of-the-art results on a benchmarking dataset.  This particular page contains datasets related to the paper. Namely the input induced word senses, a database of hypernyms, and the output clusters of senses labeled with hypernyms -- the distributional semantic classes. The semantic classes are of two granularities, as described in the paper (coarse and fine grained).&nbsp;","Alexander Panchenko, Dmitry Ustalov, Stefano Faralli, Simone P. Ponzetto, Chris Biemann",dataset,cc-by-sa-4.0,https://zenodo.org/records/1174041
10.5281/zenodo.16451923,GUI-ReRank Dataset: Annotations and Embeddings for the Rico GUI Dataset,2025-07-26,"<h1><span>Rico Annotation and Embedding Dataset for GUI-ReRank:</span></h1>  This&nbsp;dataset contains&nbsp;all&nbsp;annotation&nbsp;and embedding&nbsp;files required to import&nbsp;the&nbsp;<span>Rico</span>&nbsp;dataset&nbsp;into&nbsp;<span>GUI-ReRank</span>. It includes&nbsp;multi-dimensional&nbsp;annotations and&nbsp;precomputed&nbsp;embeddings for&nbsp;each GUI&nbsp;in&nbsp;the&nbsp;Rico dataset, enabling&nbsp;advanced search&nbsp;and&nbsp;reranking functionality&nbsp;within the&nbsp;<span>GUI-ReRank</span>&nbsp;system.    <span>Contents:</span> <ul> <li><span>annotations.json</span>: Main annotation file mapping Rico GUI IDs to their multi-dimensional text annotations.</li> </ul> <ul> <li><span>design.npy, domain.npy, functionality.npy, general_description.npy, gui_components.npy, text.npy</span>: Numpy&nbsp;arrays&nbsp;containing&nbsp;embeddings&nbsp;for&nbsp;each&nbsp;search&nbsp;dimension.</li> </ul> <ul> <li><span>failed_files.json</span>: List&nbsp;of&nbsp;Rico GUIs that&nbsp;could&nbsp;not&nbsp;be processed.</li> </ul> <ul> <li><span>index_mapping.json, inverse_index_mapping.json</span>: Mappings between&nbsp;dataset indices&nbsp;and Rico&nbsp;GUI IDs.</li> </ul> <ul> <li><span>meta.json</span>: Metadata&nbsp;about&nbsp;the&nbsp;dataset and&nbsp;annotation process.</li> </ul>   <span>Usage:</span>  Download&nbsp;and&nbsp;extract&nbsp;all files&nbsp;into the&nbsp;<span>/rico/dataset</span>&nbsp;directory&nbsp;of your&nbsp;<span>GUI-ReRank</span> installation. This&nbsp;dataset&nbsp;is required for&nbsp;importing the&nbsp;Rico&nbsp;dataset&nbsp;and enabling&nbsp;multi-dimensional&nbsp;GUI search&nbsp;and&nbsp;reranking.","Kolthoff, Kristian, Kretzer, Felix, Bartelt, Christian, Maedche, Alexander, Ponzetto, Simone Paolo",dataset,cc-by-4.0,https://zenodo.org/records/16451923
10.5281/zenodo.6039372,GeNeG: German News Knowledge Graph,2022-02-10,"GeNeG is a knowledge graph constructed from news articles on the topic of refugees and migration, collected from German online media outlets. GeNeG contains rich textual and metadata information, as well as named entities extracted from the articles&#39; content and metadata and linked to Wikidata. The graph is expanded with up to three-hop neighbors from Wikidata of the initial set of linked entities.  GeNeG comes in three flavors:  <ul> 	<li>Base GeNeG: contains textual information, metadata, and linked entities extracted from the articles.</li> 	<li>Entities GeNeG: derived from the Base GeNeG by removing all literal nodes, it contains only resources and it is enriched with three-hop Wikidata neighbors of the entities extracted from the articles.</li> 	<li>Complete GeNeG: the combination of the Base and Entities GeNeG, it contains both literals and resources.</li> </ul>  Information about uploaded files:  (all files are b-zipped and in the N-Triples&nbsp;format.)  <table align=""left""> 	<thead> 		<tr> 			<th scope=""col""><strong>File</strong></th> 			<th scope=""col""><strong>Description</strong></th> 		</tr> 	</thead> 	<tbody> 		<tr> 			<td>geneg_<em>type</em>-metadata.nt.bz2</td> 			<td>Metadata about the dataset, described using void vocabulary.</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-instances_types.nt.bz2</td> 			<td>Class definitions of articles and events.</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-instances_labels.nt.bz2</td> 			<td>Labels of instances.</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-instances_metadata_literals.nt.bz2</td> 			<td>Relations between news article resurces and metadata literals (e.g. URL, publishing date, modification date, polarity score, stance).</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-instances_metadata_resources.nt.bz2</td> 			<td>Relations between news article resources and metadata entities (i.e. publishers, authors, keywords).</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-instances_content_relations.nt.bz2</td> 			<td>Relations between news article resources and content components (e.g. titles, abstracts, article bodies).</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-instances_event_mapping.nt.bz2</td> 			<td>Mapping of news article resources to events.</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-event_relations.nt.bz2</td> 			<td>Relations between news events and entities mentioned (i.e. actors, places, mentions).</td> 		</tr> 		<tr> 			<td>geneg_<em>type</em>-wiki_relations.nt.bz2</td> 			<td>Relations between news event Wikidata entities and their&nbsp;<em>k</em>-hop entities neighbors from Wikidata.</td> 		</tr> 	</tbody> </table>  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  &nbsp;  <strong>Changelog</strong>  v1.0.1  <ul> 	<li>Stance annotations have been added to the Base and Complete GeNeG.</li> </ul>","Andreea Iana, Alexander Grote, Kaharina Ludwig, Mehwish Alam, Philipp Müller, Christof Weinhardt, Harald Sack, Heiko Paulheim",dataset,,https://zenodo.org/records/6039372
