Title,DOI,URL,Description,Published At,Source,Authors,License
Replication Data for `Divergent Perceptions of Peace in Post-Conflict Societies: Insights from Sri Lanka',doi:10.7910/DVN/DTBWGP,https://doi.org/10.7910/DVN/DTBWGP,Replication data for the related publication,2022-06-07T08:20:09Z,Harvard Dataverse,"Carey, Sabine",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Political ambition and opposition legislative review: Bill scrutiny as an intra-party signalling device,doi:10.7910/DVN/VMSLWF,https://doi.org/10.7910/DVN/VMSLWF,"Recent research on executive–legislative relations in parliamentary democracies has shown that members of majority parties submit amendments to government bills to police the coalition compromise and to distinguish themselves from their coalition partners. It is poorly understood, however, what motivates members of the opposition to engage in the resource-intensive work of proposing changes to government bills. Not only are amendment proposals by the opposition often unsuccessful (lack of policy motivation), they are largely invisible to the electorate (lack of vote motivation). We argue that amendments by the opposition are best understood as reflecting office motivations of legislators. Ambitious legislators draft amendments to signal skill and expertise to their party peers, which is rewarded with promotions to higher office. We confirm our argument with original data from a German state parliament. The findings further our understanding of legislative review, individual legislative efforts and career trajectories.",2023-11-19T20:45:58Z,Harvard Dataverse,"Behrens, Lion",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Terrorism and Immigration Policy Preferences,doi:10.7910/DVN/FFUWSF,https://doi.org/10.7910/DVN/FFUWSF,"What is the causal impact of terrorism on immigration policy preferences? Under what circumstances and due to which psychological micro-mechanisms does this impact materialize? To answer these questions, we provide evidence from pre-registered and well-powered experiments for Germany and the United Kingdom. We find that anti-immigration responses to terrorism follow an emotional proximity rationale: terrorism leads to more restrictive migration policy preferences only among individuals with high levels of perceived insecurity, especially when terrorism occurs in their own country. Policy preferences are not affected by terrorism abroad or by information cues on the objectively low probability of being victimized.",2022-04-01T07:26:03Z,Harvard Dataverse,"Helbling, Marc",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Wheeling and Dealing Behind Closed Doors: Estimating the Causal Effect of Transparency on Policy Evaluations Using a Survey Experiment,doi:10.7910/DVN/GAPIQO,https://doi.org/10.7910/DVN/GAPIQO,"The Transatlantic Trade and Investment Partnership (TTIP) between the European Union and the United States is highly technical. Still, the negotiations triggered large-scale protests among citizens with very diverse socioeconomic backgrounds. Why has a complex issue such an enormous mobilizing effect although the economic consequences are either unclear or favorable for the participating economies? We argue that the transparency of negotiations is an important consideration for people evaluating the negotiation outcome. Conducting a survey experiment, we show that non-transparent decision-making decreases citizens' appraisal of the agreement independent of its outcome: A non-transparent negotiation is, on average, almost 16\% less likely to find public approval than a transparent but otherwise identical agreement. Our findings have important implications for democratic decision-making.",2018-12-04T19:23:58Z,Harvard Dataverse,"Juhl, Sebastian; Hilpert, David",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The State and the Emergence of the First American Party System: Roll Call Voting in the New York State Assembly during the Early Republic,doi:10.7910/DVN/JLUVYU,https://doi.org/10.7910/DVN/JLUVYU,"Code and data to replicate the analyses in ""The State and the Emergence of the First American Party System: Roll Call Voting in the New York State Assembly during the Early Republic."" The file replication_data.RData contains all data necessary to run the R script replication_code.R. In addition, you can find the data on roll call votes and assemblymen in tabular form.",2025-06-11T05:22:22Z,Harvard Dataverse,"Rohr, Benjamin",http://creativecommons.org/licenses/by-nc/4.0
"Reproduction files for: The European refugee crisis, party competition, and voters’ responses in Germany",doi:10.7910/DVN/NVKQ5V,https://doi.org/10.7910/DVN/NVKQ5V,"Code to reproduce all findings reported in the paper. Original data sets are publicly available for download; see information in ""readme.txt""",2020-07-31T07:10:20Z,Harvard Dataverse,"Mader, Matthias",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Backlash to Policy Decisions. How Citizens React to Immigrants’ Rights to Demonstrate,doi:10.7910/DVN/NHSJMJ,https://doi.org/10.7910/DVN/NHSJMJ,"Focusing on one specific aspect of immigrant political integration - how authorities deal with their polit-ical right to demonstrate - we show in a large-scale survey experiment that liberal policy decisions per-mitting demonstrations lead to a polarization in attitudes: Citizens who agree with a permission become more sympathetic, while those in favor of banning become more critical of immigrants. This notion of opinion backlash to policy decisions adds a new perspective to the literature on immigration attitudes which has either assumed a congruence between public opinion and policy or ignored political sources of anti-immigrant sentiment altogether. By exploring the unintended consequences of policy decisions, we provide an alternative view and demonstrate the inherent dilemma of balancing citizen opinion and minority rights.",2020-09-23T16:01:53Z,Harvard Dataverse,"Traunmueller, Richard",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Monetary Policy, Markup Dispersion, and Aggregate TFP",doi:10.7910/DVN/5JJ6OE,https://doi.org/10.7910/DVN/5JJ6OE,"Meier, Matthias, and Reinelt, Timo, (2024) “Monetary Policy, Markup Dispersion, and Aggregate TFP.” Review of Economics and Statistics 106:4, 1012–1027.",2022-06-24T14:46:46Z,Harvard Dataverse,"Meier, Matthias; Reinelt, Timo",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: How Gendered is the Peer Review Process? A Mixed-Design Analysis of Reviewer Feedback,doi:10.7910/DVN/LMDUEQ,https://doi.org/10.7910/DVN/LMDUEQ,"A fair peer review process is essential for the integrity of a discipline's scholarly standards. However, underrepresentation of scholarly groups casts doubt on fairness, which is currently raising concerns about a gender bias in the peer review process of premier scholarly journals such as the American Political Science Review (APSR). In this study we examine gender differences in APSR reviewing during the period 2007-2020. Our explorative analysis suggests that male reviewers privilege male authors and female reviewers female authors, while manuscripts reviewed by both male and female reviewers indicate fewer gender bias. Using within manuscript variation to address confounding effects, we then show that manuscripts reviewed by both male and female reviewers receive a more positive evaluation by female reviewers in terms of recommendation and sentiment, while they experience a marginally longer duration. Because these effects are not specific for type of authorship, we recommend that invitations should reflect mixed compositions of peers, which may also avoid overburdening an underrepresented group with review workload.",2021-06-25T00:42:23Z,Harvard Dataverse,"Thomas König; Ropers, Guido",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: 'When the Whole is Greater Than the Sum of its Parts: On the Concept and Measurement of Populist Attitudes and Other Multi-dimensional Constructs',doi:10.7910/DVN/KPS1KY,https://doi.org/10.7910/DVN/KPS1KY,"Replication data and code for all analyses, plus the source code underlying the Shiny Web Application (see http://populism.alexander-wuttke.de).",2019-12-08T19:56:15Z,Harvard Dataverse,"Wuttke, Alexander; Schimpf, Christian; Schoen, Harald",N/A
Replication Data for: 'Have Europeans Grown Tired of Democracy?',doi:10.7910/DVN/Y5Y6VD,https://doi.org/10.7910/DVN/Y5Y6VD,"Reproduction material for analyses and files underlying Shiny Web Application (http://democracy.alexander-wuttke.de). --- Best view of file structure in tree-mode --- For pre-registration plans, see: https://osf.io/bw5j3/registrations/ --- Abstract: Democracies without democrats are not sustainable. Yet, recent studies argue that Western citizens are turning their backs on the system of self-governance, thereby eroding the societal foundations of consolidated democracies. We contribute to discussions about citizen support of democracy by 1) analyzing new cross-national survey data in 18 European countries that enable assessing the temporal and geographical generalizability of previous findings; 2) disentangling age-, cohort-, and period effects, thereby aligning the analytical methods with the theoretical arguments; 3) transparently reporting the entire evidence derived from pre-registered analyses to avoid cherry-picked findings. Our findings show that citizens of consolidated democracies continue to endorse self-governance. Yet, in some but not all countries, there is evidence for a growing number of ‘democrats in name only’, particularly among the young generation. These findings suggest a second phase in research on democratic fatigue that broadens the analytical scope for the multi-faceted nature of democratic support.",2020-07-07T08:07:50Z,Harvard Dataverse,Alexander Wuttke; Gavras; Harald Schoen,http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Discrete Choice Data with Unobserved Heterogeneity: A Conditional Binary Quantile Model,doi:10.7910/DVN/1WZCEA,https://doi.org/10.7910/DVN/1WZCEA,"Replication materials for the results in Xiao Lu. ""Discrete Choice Data with Unobserved Heterogeneity: A Conditional Binary Quantile Model"". Political Analysis.",2019-05-02T02:25:51Z,Harvard Dataverse,"Lu, Xiao",http://creativecommons.org/publicdomain/zero/1.0
Reproduction files for: Stabilität und Wandel der nationalen Identität in der deutschen Bevölkerung,doi:10.7910/DVN/LRZMB7,https://doi.org/10.7910/DVN/LRZMB7,"Code to reproduce all findings reported in the paper. Data are publicly available for download; see instructions in ""0_readme.txt"".",2018-01-03T11:37:20Z,Harvard Dataverse,"Mader, Matthias",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Challenging the Challengers? Quasi-Experimental Evidence on the Impact of the Bündnis Sahra Wagenknecht on German Party Competition,doi:10.7910/DVN/PYOHGA,https://doi.org/10.7910/DVN/PYOHGA,"This article examines the transformative impact of a challenger's entry into party competition, using a quasi-experimental design to provide an evidence-based evaluation of its effects on voter mobilization, competition with mainstream parties, and interactions with other challengers. Leveraging variation in the participation of the newly formed Bündnis Sahra Wagenknecht (BSW), we analyze local elections in five German states. To account for strategic factors influencing BSW’s participation, we apply covariate balancing propensity scores to ensure comparability between treated and non-treated municipalities, enabling an unbiased estimation of the average treatment effect of BSW’s participation on changes in voter turnout and party vote shares. Except for the right-wing Alternative für Deutschland, our findings reveal a significant reduction in vote shares for all parties, with no evidence of increased voter mobilization. These results have important implications for party competition dynamics and the functioning of representative democracy in the presence of multiple challengers.",2025-06-23T16:13:38Z,Harvard Dataverse,"Eschenwecker, Stefan; König, Thomas",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Comparative Politics and Causal Evaluation of Structural Reforms: The Case of the UK National Minimum Wage Introduction,doi:10.7910/DVN/CSX1VL,https://doi.org/10.7910/DVN/CSX1VL,"In comparative studies, causal evaluations attempt to improve our understanding of the effectiveness of structural reforms by counterfactually inspecting post-treatment effects. Yet, even if comparative scholars find similar treatment and comparison units, the interpretation of the post-treatment trajectory is difficult as short-term estimates can be subject to strategic timing of reform implementation, while long-term effects are likely affected by further interventions. To illustrate these difficulties we apply the generalized synthetic control method to evaluate the introduction of a British national minimum wage. We find a short-term decreasing effect on youth unemployment that turns into an increasing effect over time. This suggests the presence of an upward biased selection effect from strategic timing. We also inspect two post-treatment interventions and find that they differ in their general and country-specific implications for the long-term trajectory.",2019-05-21T17:57:51Z,Harvard Dataverse,"König, Thomas; Ropers, Guido; Buchmann, Anika",http://creativecommons.org/publicdomain/zero/1.0
Replication For: (How) Do Information Campaigns Influence Migration Decisions?,doi:10.7910/DVN/YZPGSV,https://doi.org/10.7910/DVN/YZPGSV,"One European policy response to the so-called migration crisis is an accelerated implementation of information campaigns in potential origin countries. Whether and how these campaigns can influence decisions about irregular migration, however, remains under explored. I argue that information campaigns reduce intentions to migrate irregularly and expect the effects to be more substantial when anxiety-inducing messages are used. Based on a field experimental RCT study (N=1,500) of an actual European information campaign in Nigeria, I provide supportive evidence for this expectation: The information campaign reduced respondents’ intentions to migrate irregularly with a more decisive effect when using an anxiety-triggering campaign message.",2023-08-09T14:55:53Z,Harvard Dataverse,"Morgenstern, Sandra",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The Wald Test of Common Factors in Spatial Model Specification Search Strategies,doi:10.7910/DVN/CY7YWE,https://doi.org/10.7910/DVN/CY7YWE,"Distinguishing substantively meaningful spillover effects from correlated residuals is of great importance in cross-sectional studies. Both forms of spatial dependence not only hold different implications for the choice of an unbiased estimator but also for the validity of inferences. To guide model specification, different empirical strategies involve the estimation of an unrestricted spatial Durbin model and subsequently use the Wald test to scrutinize the non-linear restriction of common factors implied by pure error dependence. However, the Wald test's sensitivity to algebraically equivalent formulations of the null hypothesis receives scant attention in the context of cross-sectional analyses. This article shows analytically that the non-invariance of the Wald test to such reparameterizations stems from the application of a Taylor series expansion to approximate the restriction's sampling distribution. While asymptotically valid, Monte Carlo simulations reveal that alternative formulations of the common factor restriction frequently produce conflicting conclusions in finite samples. An empirical example illustrates the substantive implications of this problem. Consequently, researchers should either base inferences on bootstrap critical values for the Wald statistic or use the likelihood ratio test which is invariant to such reparameterizations when deciding on the model specification that adequately reflects the spatial process generating the data.",2020-03-20T10:23:24Z,Harvard Dataverse,"Juhl, Sebastian",N/A
Replication data for: Apples and Oranges? The Problem of Equivalence in Comparative Research,doi:10.7910/DVN/TMWJYL,https://doi.org/10.7910/DVN/TMWJYL,"Researchers in comparative research are increasingly relying on individual level data to test theories involving unobservable constructs like attitudes and preferences. Estimation is carried out using large-scale cross-national survey data providing responses from individuals living in widely varying contexts. This strategy rests on the assumption of equivalence, i.e. that no systematic distortion in response behavior of individuals from different countries exists. However this assumption is frequently violated with rather grave consequences for comparability and interpretation. I present a Multilevel Mixture Ordinal Item Response Model with Item-bias Effects that is able to establish equivalence. It corrects for systematic measurement error induced by unobserved country heterogeneity and it allows for the simultaneous estimation of structural parameters of interest.",2011-06-24T00:00:00Z,Harvard Dataverse,Daniel Stegmueller,http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The Role of Topic Expertise for Interruption Behavior in Parliament - A Dyadic Approach,doi:10.7910/DVN/YLBHAX,https://doi.org/10.7910/DVN/YLBHAX,"All files needed to replicate the analysis of the paper "" The Role of Topic Expertise for Interruption Behavior in Parliament - A Dyadic Approach""",2024-11-15T11:17:07Z,Harvard Dataverse,"Diener, Julius",http://creativecommons.org/publicdomain/zero/1.0
Empty Promises and Nonincorporation in Mercosur,doi:10.7910/DVN/4MTMXW,https://doi.org/10.7910/DVN/4MTMXW,"Why do the member states of the world’s fourth-largest trading block incorporate only about two-thirds of all policies they adopt? This article argues that empty promises are an important reason for Mercosur’s incorporation problems and that Mercosur’s institutional design furthers such a defective behavior. Member governments easily sign agreements whenever they are rewarded for the mere act of doing so. However, if they expect high costs from implementing these policies, they try to avoid incorporation. Since only the last state to incorporate a policy triggers its overall legal validity, Mercosur’s members can easily veto any agreement ex post. In addition to empty promises, mismanaged drafting and incorporation and the abuse of negotiation power also pose important obstacles to incorporation. Free riding, however, does not play a role. Due to the incorporation rules, there can be no externalities that incentivize unilateral defection. The article substantiates the arguments empirically with the multivariate analysis of the complete incorporation record of 1,033 policies adopted between 1994 and 2008.",2018-03-01T14:58:54Z,Harvard Dataverse,"Arnold, Christian",http://creativecommons.org/publicdomain/zero/1.0
Replication data for: Fiscal Governance in the Eurozone: How effectively does the Stability and Growth Pact limit governmental debt in the Euro countries?,doi:10.7910/DVN/24640,https://doi.org/10.7910/DVN/24640,"The European sovereign debt crisis continues to hold Europe and the World captive. Will the Euro and the fiscal mechanism of the Eurozone survive? And how about the effectiveness of this Stability and Growth Pact (SGP) - do the Euro countries generally fail to comply with the rules of fiscal governance, or, does the Eurozone need a more member-specific fiscal mechanism? In this article, we examine whether and how the SGP influenced the development of governmental debt-making in the Euro countries after the introduction of the Euro. While the SGP could not prevent Euro countries from exceeding their deficits, our synthetic control-analysis reveals that the mechanism effectively reduced overall governmental debt of Euro countries since 1999. In particular donor countries were able to control governmental spending, while many recipient countries -ÃÂÃÂ including Greece, Portugal and Italy -ÃÂÃÂ increased governmental debt ever since, resulting in the European sovereign debt crisis. This suggests that while the SGP effectively constrained overall governmental debt-making, a more sophisticated mechanism is required for safeguarding compliance in large recipient countries.",2014-11-04T00:00:00Z,Harvard Dataverse,"Koehler, Sebastian; Koenig, Thomas",http://creativecommons.org/publicdomain/zero/1.0
Replication data for: Replication data and supplementary materials for Using Twitter to mobilise protest action.,doi:10.7910/DVN/26792,https://doi.org/10.7910/DVN/26792,Replication materials and supplementary data. Note that Twitter ids for coded messages but not the messages themselves are in archived for copyright reasons.,2014-07-22T00:00:00Z,Harvard Dataverse,"Lowe, Will",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for: Numbers, Selectivity and Rights: The Conditional Nature of Immigration Policy Preferences",doi:10.7910/DVN/RCVA0X,https://doi.org/10.7910/DVN/RCVA0X,"Replication code and data for the article Helbing, Maxwell & Traunmüller: Numbers, Selectivity and Rights: The Conditional Nature of Immigration Policy Preferences. Comparative Political Studies",2023-04-01T18:26:59Z,Harvard Dataverse,"Marc Helbling; Rahsaan Maxwell; Traunmueller, Richard",http://creativecommons.org/publicdomain/zero/1.0
Replication data for: Understanding Wordscores,doi:10.7910/DVN/VJQKPQ,https://doi.org/10.7910/DVN/VJQKPQ,R code for the figures in the paper,2012-05-26T00:00:00Z,Harvard Dataverse,Will Lowe,http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: 'Them' Without 'Us': Negative Identities and Affective Polarisation in Brazil,doi:10.7910/DVN/MYCJSH,https://doi.org/10.7910/DVN/MYCJSH,"Datasets include the 2014 and 2018 waves of the Brazilian Electoral Study (BES), and survey data collected for the paper. All model analyses come from these datasets. Questionnaire includes all questions from the online survey, as well as informed consent page.",2021-10-22T08:53:15Z,Harvard Dataverse,"Areal, João",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for ""How valid are trust survey measures? New insights from open-ended probing data and supervised machine learning""",doi:10.7910/DVN/FJXH5G,https://doi.org/10.7910/DVN/FJXH5G,"This repository contains replication files for study ""How valid are trust survey measures? New insights from open-ended probing data and supervised machine learning""",2024-01-12T12:16:35Z,Harvard Dataverse,"Landesvatter, Camille; Bauer, Paul C.",http://creativecommons.org/publicdomain/zero/1.0
Replication data for: A Common Left-Right Scale for Voters and Parties in Europe,doi:10.7910/DVN/23113,https://doi.org/10.7910/DVN/23113,"Replication code and data for ""A Common Left-Right Scale for Voters and Parties in Europe""",2014-10-02T00:00:00Z,Harvard Dataverse,"Lo, James; Proksch, Sven-Oliver; Gschwend, Thomas",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: The Political Consequences of Wartime Sexual Violence. Evidence from a List Experiment,doi:10.7910/DVN/QWRVHB,https://doi.org/10.7910/DVN/QWRVHB,"Replication data and replication code for Gonzalez, B. & Traunmueller, R. ""The Political Consequences of Wartime Sexual Violence. Evidence from a List Experiment"" Journal of Peace Research",2023-07-06T06:44:44Z,Harvard Dataverse,"Gonzalez, Belen; Traunmueller, Richard",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Modeling preferences using roll call votes in parliamentary systems,doi:10.7910/DVN/JSXOEY,https://doi.org/10.7910/DVN/JSXOEY,"Replication data and code for ""Modeling preferences using roll call votes in parliamentary systems""",2016-02-04T00:34:21Z,Harvard Dataverse,"Bräuninger, Thomas; Müller, Jochen; Stecker, Christian",http://creativecommons.org/publicdomain/zero/1.0
Does Electoral Proximity Affect Security Policy?,doi:10.7910/DVN/29231,https://doi.org/10.7910/DVN/29231,"Contains all files necessary to replicate analyses, re-assemble dataset, produce Tables and Figures in ""Does Electoral Proximity Affect Security Policy?, as well as ancillary data not included in the main parts of the paper. We collected monthly data on troops in Afghanistan in two ways, producing an original dataset of troop commitments to Afghanistan from October 2001 through October 2011. First, we scraped the monthly contributions to ISAF from the official ISAF archive for January 2007 through October 2011. Second, we complemented these numbers with data from individual communication with foreign and defense ministries in each of the contributing states. In total, we gathered data on 50 different states.",2015-02-25T00:00:00Z,Harvard Dataverse,"Marinov, Nikolay; Nomikos, William G.; Robbins, Josh",http://creativecommons.org/publicdomain/zero/1.0
Government Agenda-Setting and  Bicameral Conflict Resolution,doi:10.7910/DVN/RB9CH9,https://doi.org/10.7910/DVN/RB9CH9,,2013-05-12T00:00:00Z,Harvard Dataverse,"Fortunato, David; Thomas König; Proksch, Sven-Oliver",http://creativecommons.org/publicdomain/zero/1.0
Rules and Allies: Foreign Election Interventions,doi:10.7910/DVN/CROUHH,https://doi.org/10.7910/DVN/CROUHH,"Data and Replication files for the Book project ""Rules and Allies: Foreign Election Interventions"" (Cambridge University Press, 2019).",2019-04-11T20:09:07Z,Harvard Dataverse,"Bubeck, Johannes; Marinov, Nikolay",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Forecasting Migration Movements using Prediction Markets,doi:10.7910/DVN/RKVWNC,https://doi.org/10.7910/DVN/RKVWNC,"Data set and Stata do-file for ""Forecasting Migration Movements using Prediction Markets"" as of December 21, 2022.",2022-12-21T18:21:37Z,Harvard Dataverse,"Strijbis, Oliver; Morgenstern, Sandra",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Making Comprehensible Speeches When Your Constituents Need It,doi:10.7910/DVN/XEE99U,https://doi.org/10.7910/DVN/XEE99U,"Replication files for ""Making Comprehensible Speeches When Your Constituents Need It"" published in Research and Politics",2019-01-08T15:42:42Z,Harvard Dataverse,"Lin, Nick; Osnabrügge, Moritz",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Die programmatischen Positionen der deutschen Parteien zur Bundestagswahl 2017: Ergebnisse einer Expertenbefragung,doi:10.7910/DVN/22BGVU,https://doi.org/10.7910/DVN/22BGVU,We report results from an expert survey on issue positions and issue salience of German parties in December 2017,2019-01-04T18:17:10Z,Harvard Dataverse,"Bräuninger, Thomas; Debus, Marc; Müller, Jochen; Stecker, Christian",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: How to place non-majoritarian institutions and political actors in a common policy space: Spatial modeling of court--executive interactions,doi:10.7910/DVN/SOEWUZ,https://doi.org/10.7910/DVN/SOEWUZ,"How can we estimate positions of non-majoritarian institutions in a common policy space? To answer this question, we take highest courts as examples of powerful non-majoritarian institutions and develop a new scaling approach to estimate their position in a common policy space with other political actors. In contrast to previous research, our approach neither relies on individual votes of justices nor assumes that justices ``inherit'' positions from political actors who nominated them. Instead, for each court decision, we use the positions of political actors expressed in written statements as well as the courts' decision outcome to estimate comparable policy positions. In two applications, we position the German Federal Constitutional Court with different German governments and the European Court of Justice with different European governments in common policy spaces and validate them. Finally, we show how our common policy scores can be used to study court--executive relations and inter-institutional interactions.",2024-05-03T02:27:11Z,Harvard Dataverse,"Engst, Benjamin G.; Grundmanns, David M.; Gschwend, Thomas",http://creativecommons.org/publicdomain/zero/1.0
"Replication Data for ""Cue-taking, satisficing, or both? Quasi-experimental evidence for ballot position effects""",doi:10.7910/DVN/SWORPS,https://doi.org/10.7910/DVN/SWORPS,"Replication data for ""Cue-taking, satisficing, or both? Quasi-experimental evidence for ballot position effects"", forthcoming in Political Behavior",2018-10-11T23:19:49Z,Harvard Dataverse,"Däubler, Thomas; Rudolph, Lukas",N/A
Replication Data for: Longitudinal Analyses of Gender Differences in First Authorship Publications Related to COVID-19,doi:10.7910/DVN/OOTXIW,https://doi.org/10.7910/DVN/OOTXIW,"Concerns have been raised that the COVID pandemic has shifted research productivity to the disadvantage of women in academia, particularly in early career stages. In this study, we aimed to assess the pandemic’s effect on women’s’ COVID-related publishing over the first year of the pandemic.",2021-04-05T17:48:25Z,Harvard Dataverse,"Lerchenmueller, Marc",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Assessing the Validity of the Manifesto Common Space Scores,doi:10.7910/DVN/T9P4WG,https://doi.org/10.7910/DVN/T9P4WG,"RILE estimates based on party manifesto data suggest that political parties leapfrog on the left-right scale over time. This implausible finding has raised questions about the efficacy not only of RILE for estimating left-right positions but of coded party manifestos for political science research in general. The recently developed Manifesto Common Space Scores (MCSS), which reduce leapfrogging by accounting for the election-specific character of party manifestos, provide alternative estimates for parties’ left/right-positions, but little is known about their validity. This study shows that MCSS estimates exhibit greater convergent validity relative to RILE estimates when compared to other measures of parties’ left/right-positions. It also finds that MCSS has greater construct validity relative to RILE estimates in two prominent cases (Greece and Italy). Overall, the findings underscore the election-specific character of party manifestos and demonstrate that MCSS is a useful alternative measure of parties' left-right positions.",2017-04-12T17:08:00Z,Harvard Dataverse,"Flentje, Jan-Erik; König, Thomas; Marbach, Moritz",http://creativecommons.org/publicdomain/zero/1.0
Unpacking the effects of burdensome state actions on citizens’ policy perceptions,doi:10.7910/DVN/Q2WLFS,https://doi.org/10.7910/DVN/Q2WLFS,"Administrative burdens appear to influence citizens’ perceptions of welfare policies and attitudes toward beneficiaries. However, empirical evidence that has disentangled different state actions’ effects on policy perceptions is scarce. We applied a 2x2x2 factorial survey experiment and manipulated the conceptually distinct state actions implemented in German unemployment benefits. We investigated whether and how exposure to learning demands, compliance demands, and sanctions affected citizens’ prejudices against beneficiaries, policy support, and perceived legitimacy. The results from a sample of 1,602 German citizens indicate that those confronted with program sanctions exhibit less policy support and expect higher policy spending. Similarly, sanctions decreased the Federal Employment Agency’s perceived legitimacy. These results have implications for administrative burden and policy feedback research. Distinguishing different state actions provides nuances to assess policy feedback effects. Practitioners should consider whether program sanctions are necessary because they evoke unintended policy feedback effects.",2023-10-17T23:03:30Z,Harvard Dataverse,"Sievert, Martin; Bruder, Jonas",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: How a history of migration affects individuals' political attitudes,doi:10.7910/DVN/SPLTLI,https://doi.org/10.7910/DVN/SPLTLI,"Replication material for the paper ""How a history of migration affects individuals' political attitudes.""",2023-08-09T12:15:21Z,Harvard Dataverse,"Himmelrath, Noam; Marc Debus; Christian Stecker",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Zero-sum thinking and the cultural threat of Muslim immigrants’ religious rights,doi:10.7910/DVN/43DQVR,https://doi.org/10.7910/DVN/43DQVR,"Replication materials for Helbling, Ivarsflaten & Traunmüller ""Zero-sum thinking and the cultural threat of Muslim immigrants’ religious rights""",2025-06-05T13:56:00Z,Harvard Dataverse,"Helbling, Marc; Ivarsflaten, Elisabeth; Ivarsflaten, Elisabeth; Traunmueller, Richard; Traunmueller, Richard",http://creativecommons.org/publicdomain/zero/1.0
Reproduction files for: Crumbling in the face of cost? How cost considerations affect public support for European security and defence cooperation.,doi:10.7910/DVN/CLI4OL,https://doi.org/10.7910/DVN/CLI4OL,"These data and code files allow researchers to reproduce the analyses in ""Mader, Matthias, Moritz Neubert, Felix Münchow, Stephanie Hofmann, Harald Schoen & Konstantin Gavras. 2024. Crumbling in the face of cost? How cost considerations affect public support for European security and defence cooperation. European Union Politics, Accepcted for publication.""",2024-03-06T13:28:16Z,Harvard Dataverse,"Mader, Matthias; Münchow, Felix",http://creativecommons.org/publicdomain/zero/1.0
Evolutionary Simulations (No Analysis),doi:10.7910/DVN/QXWX4Q,https://doi.org/10.7910/DVN/QXWX4Q,"These files are needed to simulate the evolutionary models, and to compute their ensemble averages.",2017-11-07T14:50:58Z,Harvard Dataverse,"Lehrer, Roni; Schumacher, Gijs",http://creativecommons.org/publicdomain/zero/1.0
Replication Data for: Context-Driven Attitude Formation: The Difference Between Supporting Free Trade in the Abstract and Supporting Specific Trade Agreements,doi:10.7910/DVN/FDSXMR,https://doi.org/10.7910/DVN/FDSXMR,"Many studies use the same factors to explain attitudes toward specific trade agreements and attitudes toward the principle of free trade and thus treat both objects as interchangeable. Contemporary trade agreements, however, often reach beyond trade in the narrow sense. Consequently, factors unrelated to free trade may affect citizens’ evaluations of these agreements. We propose a model of attitude formation toward specific trade agreements that includes the societal context as a constitutive feature. We expect salient aspects of an agreement to activate corresponding predispositions. Empirically, we compare how this contextual model and a standard model perform in explaining German citizens’ attitudes toward free trade and the Transatlantic Trade and Investment Partnership (TTIP). The results show that the standard model performs well in explaining public opinion on the principle of free trade but is less useful to explain attitudes toward TTIP. The latter were driven by postures toward transatlantic cooperation, predispositions toward the role of interest groups in politics, and market regulation—aspects salient in German public discourse about TTIP. In sum, we find ample evidence for the need to differentiate between the two attitude objects and for our contextual model of attitude formation. Data was collected using the Payback Online Panel by Infratest dimap.",2018-01-05T13:54:52Z,Harvard Dataverse,Andreas Jungherr; Matthias Mader; Harald Schoen; Alexander Wuttke,http://creativecommons.org/publicdomain/zero/1.0
Analyses Evolutionary Models,doi:10.7910/DVN/CX6BKT,https://doi.org/10.7910/DVN/CX6BKT,These files are needed to replicate the analyses for the evolutionary models.,2017-12-15T11:48:07Z,Harvard Dataverse,"Lehrer, Roni; Schumacher, Gijs",http://creativecommons.org/publicdomain/zero/1.0
