filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
J%20Applied%20Social%20Pyschol%20-%202025%20-%20Pummerer%20-%20Belief%20in%20a%20Norm%E2%80%90Consistent%20Climate%20Policy%20Conspiracy%20Theory%20and%20Non%E2%80%90Normative.pdf,10.1111/jasp.13094,"Pummerer, Lotte, Lara Ditrich, Kevin Winter, and Kai Sassenberg. ""Belief in a Norm‐Consistent Climate Policy Conspiracy Theory and Non‐Normative Collective Action."" Journal of Applied Social Psychology 55, no. 5 (2025): 343‐358. https://doi.org/10.1111/jasp.13094",primary,Self-administered questionnaire,Qualtrics,the authors,not applicable,10.23668/psycharchives.16188,The data that support the findings of this work are openly available from psycharchives at https://doi.org/10.23668/psycharchives.16188 (data) & https://doi.org/10.23668/psycharchives.16189 (code).,https://doi.org/10.23668/psycharchives.16189
J%20Management%20Studies%20-%202023%20-%20Brauer%20-%20Managing%20the%20Downside%20of%20Downsizing%20Firms%20Impression%20Offsetting%20around.pdf,10.1111/joms.13024,"Brauer, Matthias and Louis Vandepoele. ""Managing the “Downside” of Downsizing: Firms’ Impression Offsetting around Downsizing Announcements"". Journal of Management Studies 61:8 (2024), doi:10.1111/joms.13024.",mixed,Content coding,coding guideline,the second author and a trained research assistant,"PR Newswire, Business Wire, Refinitiv I/B/E/S, Center of Research in Security Prices (CRSP), Factiva database, Consumer Sentiment Index from the University of Michigan, and Labor Turnover Survey from the US Bureau of Labor Statistics",,,
J%20Management%20Studies%20-%202023%20-%20Kowalzick%20-%20Overconfident%20CEOs%20in%20Dire%20Straits%20How%20Incumbent%20and%20Successor%20CEOs%20.pdf,10.1111/joms.12962,"Kowalzick, Marc, Jan-Philipp Ahrens, Jochim G. Lauterbach, and Yi Tang. ""Overconfident CEOs in Dire Straits: How Incumbent and Successor CEOs’ Overconfidence Affects Firm Turnaround Performance."" Journal of Management Studies 61, no. 5 (2024): 1986. doi:10.1111/joms.12962",secondary,Automated data extraction,COMPUSTAT Capital IQ database,not applicable,"COMPUSTAT Capital IQ database, COMPUSTAT Historical Segments database, ExecuComp, SEC filings",,,
J%20Management%20Studies%20-%202024%20-%20Adomako%20-%20Navigating%20Environmental%20Threats%20to%20New%20Ventures%20A%20Regulatory%20Fit%20Approach%20to.pdf,10.1111/joms.13115,"Adomako, Samuel, Fei Zhu, Dan K. Hsu, Baris Istipliler, and Johan Wiklunde. ""Navigating Environmental Threats to New Ventures: A Regulatory Fit Approach to Bricolage."" Journal of Management Studies 62, no. 4 (2025): 1525. doi:10.1111/joms.13115.",primary,Self-administered questionnaire,seven-point Likert scale,one of the researchers or delivered in person by a student,not applicable,,,
J%20Management%20Studies%20-%202026%20-%20Thaler%20-%20Microlevel%20Judgments%20of%20Organizational%20Legitimacy%20How%20Validity%20Cues%20and%20Categorical.pdf,10.1111/joms.70094,"Thaler, Julia, Martin Sievert, Sonia S. Siraz, and Alexander Pinz. ""Microlevel Judgments of Organizational Legitimacy: How Validity Cues and Categorical Fit Shape Evaluators’ Propriety Beliefs."" Journal of Management Studies 0(0), 2026. doi:10.1111/joms.70094.",primary,Experiment,survey,respondi,not applicable,,"We preregistered the design (Figure 2), sampling, and analysis plans and variables (https://doi.org/10.17605/OSF.IO/
NSUY8).",
J%20Occupat%20Organ%20Psyc%20-%202023%20-%20Arnold%20-%20Time%20matters%20The%20role%20of%20recovery%20for%20daily%20mood%20trajectories%20at%20work.pdf,10.1111/joop.12445,"Arnold, Maike, and Sabine Sonnentag. ""Time matters: The role of recovery for daily mood trajectories at work."" Journal of Occupational and Organizational Psychology 96 (2023): 754–785. doi: 10.1111/joop.12445.",primary,Self-administered questionnaire,daily surveys,Maike Arnold,not applicable,,,
J%20Occupat%20Organ%20Psyc%20-%202024%20-%20Sonnentag%20-%20Leader%20support%20for%20recovery%20A%20multi%E2%80%90level%20approach%20to%20employee%20psychological.pdf,10.1111/joop.12538,"Sonnentag, Sabine, Ronit Kark, and Laura Venz. ""Leader support for recovery: A multi-level approach to employee psychological detachment from work."" Journal of Occupational and Organizational Psychology 97 (2024): 1762-1788. doi:10.1111/joop.12538",primary,Self-administered questionnaire,www.soscisurvey.de,authors,not applicable,,,
J%20Occupat%20Organ%20Psyc%20-%202025%20-%20Reifenscheid%20-%20Support%20for%20a%20legal%20right%20to%20work%20from%20home%20Do%20those%20who%20need%20it%20support.pdf,10.1111/joop.70046,"Reifenscheid, Maximiliane, and Katja Möhring. ""Support for a legal right to work from home: Do those who need it, support it? The COVID-19 pandemic as natural experiment."" Journal of Occupational and Organizational Psychology 98 (2025): e70046. https://doi.org/10.1111/joop.70046",secondary,Self-administered questionnaire,German Internet Panel (GIP),not applicable,German Internet Panel (GIP) and the Mannheim Corona Study (MCS),,"Figure by Reifenscheid, M. & Möhring, K., licensed under CC BY 4.0. https://doi.org/10.17605/OSF.IO/3GVH7.",
J%20of%20Accounting%20Research%20-%202023%20-%20COHEN%20-%20Executive%20Compensation%20Tied%20to%20ESG%20Performance%20International%20Evidence.pdf,10.1111/1475-679X.12481,"Cohen, Shira, Igor Kadach, Gaizka Ormazabal, and Stefan Reichelstein. ""Executive Compensation Tied to ESG Performance: International Evidence."" Journal of Accounting Research 61, no. 3 (June 2023): 805-838, doi: 10.1111/1475-679X.12481",mixed,Content coding,hand-collection exercise,authors,"ISS ECA database, Datastream/WorldScope, Refinitiv, Sustainalytics, MSCI (ESG KLD), Trucost, FactSet/LionShares",,An online appendix to this paper can be downloaded at https://www.chicagobooth.edu/jar-online-supplements,
J%20of%20Accounting%20Research%20-%202023%20-%20OLBERT%20-%20Private%20Equity%20and%20Local%20Public%20Finances.pdf,10.1111/1475-679X.12487,"Olbert, Marcelo, and Peter H. Severin. ""Private Equity and Local Public Finances."" Journal of Accounting Research 61, no. 4 (September 2023): 1313-1314. doi:10.1111/1475-679X.12487",secondary,Aggregation,not applicable,not applicable,"Bureau van Dijk’s (BvD) Zephyr database, BvD Orbis, BvD’s FAME database, KPMG, OECD, German states’ statistical ofﬁces (Regionaldatenbank)",,An online appendix to this paper can be downloaded at https://www.chicagobooth.edu/jar-online-supplements.,
J%20of%20Applied%20Econometrics%20-%202024%20-%20Kim%20-%20The%20US%20structural%20transformation%20and%20regional%20convergence%20Racial%20heterogeneity.pdf,10.1002/jae.3074,"Kim, Minki, and Munseob Lee. 2024. ""The US structural transformation and regional convergence: Racial heterogeneity."" Journal of Applied Econometrics 39 (2024): 1172–1179. doi: 10.1002/jae.3074.",secondary,Aggregation,not applicable,not applicable,integrated public-use microdata series (IPUMS) of the US Census,10.15456/jae.2024133.1504216237,"DATA AVAILABILITY STATEMENT
Data is available at https://doi.org/10.15456/jae.2024133.1504216237.",
J%20of%20Business%20Logistics%20-%202026%20-%20Burkhart%20-%20How%20Relationships%20End%20A%20Review%20and%20Research%20Agenda%20of%20Buyer%20Supplier.pdf,10.1111/jbl.70055,"Burkhart, Davide, John R. Macdonald, and Christoph Bode. ""How Relationships End: A Review and Research Agenda of Buyer–Supplier Relationship Dissolution."" Journal of Business Logistics 47 (2026): e70055. https://doi.org/10.1111/jbl.70055",primary,Content coding,structured multi-level approach,article authors,not applicable,,,
J%20of%20Common%20Market%20Studies%20-%202023%20-%20Schilin%20-%20Only%20if%20You%20Play%20by%20the%20Norms%20Insider%20Norms%20and%20Outsider%20Involvement%20in.pdf,10.1111/jcms.13481,"Schilin, Alexander. ""Only if You Play by the Norms! Insider Norms and Outsider Involvement in Eurogroup and Eurogroup Working Group Interaction During the Sovereign Debt Crisis."" JCMS: Journal of Common Market Studies 62, no. 1 (2024): 108-126. doi:10.1111/jcms.13481",mixed,Interview,semi-structured elite interviews,Alexander Schilin,EMU Formation dataset,,"Data Availability Statement
Because the interviews for this study have been conducted conﬁdentially, the author cannot provide complete transcripts. However, a list of interviews used for the study is available on the bottom of the article manuscript. The interview data collected in the EMU Formation dataset for the EMU Choices research project are accessible at https://emuchoices.eu/data/emuf/. A PDF document containing all the interview data collected in the project can be requested from the authors via a Google Doc.",
J%20of%20Consumer%20Behaviour%20-%202024%20-%20Ble%C4%8Di%C4%87%20-%20Which%20Moments%20Matter%20Most%20Investigating%20Boundary%20Conditions%20of%20the%20Effect%20of.pdf,10.1002/cb.2411,"Blečić, Aleksandar and Sabine Kuester. ""Which Moments Matter Most? Investigating Boundary Conditions of the Effect of Specific Moments on Overall Evaluations of Customer Experiences."" Journal of Consumer Behaviour 24 (2025): 220–232. https://doi.org/10.1002/cb.2411",primary,Experiment,experimental vignette method,authors,not applicable,,The data that support the findings of this study are available from the corresponding author upon reasonable request.,
J%20of%20Financial%20Research%20-%202026%20-%20Scharnowski%20-%20Social%20media%20high%E2%80%90frequency%20trading%20and%20market%20making%20after%E2%80%90hours%20.pdf,10.1111/jfir.70049,"Scharnowski, Stefan. ""Social media, high‐frequency trading, and market making after‐hours – Evidence from presidential tweets."" Journal of Financial Research 2026: 1–31. doi: 10.1111/jfir.70049.",mixed,Automated data extraction,Twitter Parliamentarian Database,authors,Twitter Parliamentarian Database,,,
J%20of%20Marriage%20and%20Family%20-%202023%20-%20Zoch%20-%20The%20evolution%20of%20family%20policies%20and%20couples%20%20housework%20division%20after%20childbirth.pdf,10.1111/jomf.12938,"Zoch, Gundula, and Stefanie Heyne. ""The evolution of family policies and couples’ housework division after childbirth in Germany, 1994’2019."" Journal of Marriage and Family 85, no. 5 (2023): 1067–1086. doi:10.1111/jomf.12938",secondary,unclear,unclear,not applicable,GSOEP study (v36),,,
J%20of%20Money%20Credit%20Banking%20-%202022%20-%20LECHTHALER%20-%20Endogenous%20Growth%20Skill%20Obsolescence%20and%20Output%20Hysteresis%20in%20a%20New-1.pdf,10.1111/jmcb.12979,"Lechthaler, Wolfgang, and Mewael F. Tesfaselassie. ""Endogenous Growth, Skill Obsolescence, and Output Hysteresis in a New Keynesian Model with Unemployment."" Journal of Money, Credit and Banking 55, no. 8 (December 2023): 2188-2224. doi:10.1111/jmcb.12979",primary,Simulation,model,authors,not applicable,,,
J%20of%20Product%20Innov%20Manag%20-%202024%20-%20Spanjol%20-%20Fueling%20innovation%20management%20research%20Future%20directions%20and%20five.pdf,10.1111/jpim.12754,"Spanjol, Jelena, Charles H. Noble, Markus Baer, Marcel L. A. M. Bogers, Jonathan Bohlmann, Ricarda B. Bouncken, Ludwig Bstieler, Luigi M. De Luca, Rosanna Garcia, Gerda Gemser, Dhruv Grewal, Martin Hoegl, Sabine Kuester, Minu Kumar, Ruby Lee, Dominik Mahr, Cheryl Nakata, Andrea Ordanini, Aric Rindfleisch, Victor P. Seidel, Alina Sorescu, Roberto Verganti, and Martin Wetzels. ""Fueling innovation management research: Future directions and five forward-looking paths."" Journal of Product Innovation Management 41, no. 5 (2024): 893–948. doi:10.1111/jpim.12754.",no data,not applicable,not applicable,not applicable,not applicable,,,
J%20Organ%20Behavior%20-%202022%20-%20Bindl%20-%20Managing%20your%20feelings%20at%20work%20for%20a%20reason%20The%20role%20of%20individual%20motives%20in%20affect.pdf,10.1002/job.2628,"Bindl, Uta K., Sharon K. Parker, Sabine Sonnentag, and Christopher B. Stride. ""Managing your feelings at work, for a reason: The role of individual motives in affect regulation for performance-related outcomes at work."" Journal of Organizational Behavior 43, no. 7 (2022): 1251–1270. doi:10.1002/job.2628",primary,Self-administered questionnaire,"iSURVEY, online survey",Studyresponse,not applicable,,,
J%20Organ%20Behavior%20-%202022%20-%20Wehrt%20-%20More%20than%20a%20muscle%20How%20self%E2%80%90control%20motivation%20depletion%20and%20self%E2%80%90regulation.pdf,10.1002/job.2644,"Wehrt, Wilken, Anne Casper, and Sabine Sonnentag. ""More than a muscle: How self-control motivation, depletion, and self-regulation strategies impact task performance."" Journal of Organizational Behavior 43, no. 6 (2022): 1358–1376. doi:10.1002/job.2644",primary,Self-administered writings and/or diaries,surveys,students,not applicable,,"DATA AVAILABILITY STATEMENT
The data that support the findings of this study are available on request from the corresponding author. The data are not publicly available due to privacy and ethical restrictions.",
J%20Organ%20Behavior%20-%202024%20-%20Toebben%20-%20Reasons%20for%20interruptions%20at%20work%20Illuminating%20the%20perspective%20of%20the%20interrupter-2.pdf,10.1002/job.2819,"Toebben, Leon, Anne Casper, Wilken Wehrt, and Sabine Sonnentag. ""Reasons for interruptions at work: Illuminating the perspective of the interrupter."" Journal of Organizational Behavior 46, no. 1 (2025): 24–42. doi:10.1002/job.2819",primary,Self-administered questionnaire,online surveys,authors,not applicable,,"DATA AVAILABILITY STATEMENT
The data that support the findings of this study are available from the corresponding author upon reasonable request.",
J%20Organ%20Behavior%20-%202024%20-%20V%C3%B6lker%20-%20It%20is%20Monday%20again%20Weekend%20sleep%20differentially%20relates%20to%20the%20workweek%20via.pdf,10.1002/job.2788,"Völker, Jette, Monika Wiegelmann, Theresa J. S. Koch, and Sabine Sonnentag. ""It is Monday again: Weekend sleep differentially relates to the workweek via reattachment on Monday."" Journal of Organizational Behavior 45, no. 6 (2024): 800–817. doi:10.1002/job.2788",primary,Self-administered questionnaire,online surveys,the authors,not applicable,,The data that support the findings of this study are available from the corresponding author upon reasonable request.,
J%20Organ%20Behavior%20-%202024%20-%20V%C3%B6lker%20-%20Mind%20the%20misalignment%20The%20moderating%20role%20of%20daily%20social%20sleep%20lag%20in%20employees%20.pdf,10.1002/job.2777,"Völker, Jette, Theresa J. S. Koch, Monika Wiegelmann, and Sabine Sonnentag. ""Mind the misalignment: The moderating role of daily social sleep lag in employees' recovery processes."" Journal of Organizational Behavior 45, no. 5 (2024): 684–701. doi:10.1002/job.2777",primary,Self-administered questionnaire,online surveys,authors,not applicable,,The data that support the findings of this study are available from the corresponding author upon reasonable request.,
J%20Organ%20Behavior%20-%202025%20-%20Cheng%20-%20Starting%20a%20Proactive%20Workday%20by%20Reattaching%20to%20Work%20How%20Reattachment%20and%20Supervisor.pdf,10.1002/job.70008,"Cheng, Bonnie Hayden, Yaxian Zhou, and Sabine Sonnentag. ""Starting a Proactive Workday by Reattaching to Work: How Reattachment and Supervisor Support for Self-Management Prompt Daily Proactivity."" Journal of Organizational Behavior 46 (2025): 1324–1345. https://doi.org/10.1002/job.70008",primary,Self-administered questionnaire,online surveys,authors,not applicable,,The data and code for the analyses in Studies 1 and 2 can be found at: https://osf.io/tjcaz/?view_only=66b699c91b094c7ca333cd1c8dc5ef81. Data are available upon request.,https://osf.io/tjcaz/?view_only=66b699c91b094c7ca333cd1c8dc5ef81
J%20Organ%20Behavior%20-%202025%20-%20Rossetti%20-%20The%20Emergence%20of%20Similar%20Personalities%20in%20Similar%20Occupations.pdf,10.1002/job.2873,"Rossetti, Claudia, Torsten Biemann, and Katja Dlouhy. ""The Emergence of Similar Personalities in Similar Occupations."" Journal of Organizational Behavior, no. 46 (2025): 1139–1157. https://doi.org/10.1002/job.2873",secondary,unclear,SOEP survey instrument,not applicable,SOEP,,The data that support the findings of this study are derived from the German SOEP. Researchers can apply for access to the SOEP data through the German Institute for Economic Research (DIW Berlin). The code for our analyses is available in the Open Science Framework (OSF) repository at: https://osf.io/qzyrb/.,https://osf.io/qzyrb/
J%20Organ%20Behavior%20-%202025%20-%20Zercher%20-%20How%20Can%20Teams%20Benefit%20From%20AI%20Team%20Members%20Exploring%20the%20Effect%20of%20Generative%20AI%20on-1.pdf,10.1002/job.2898,"Zercher, Désirée, Ekaterina Jussupow, Ivo Benke, and Armin Heinzl. ""Is Our Future Colleague Even Human? Advancing Human-AI Teamwork from An Organizational Perspective: How Can Teams Benefit From AI Team Members? Exploring the Effect of Generative AI on Decision-Making Processes and Decision Quality in Team–AI Collaboration."" Journal of Organizational Behavior, 2025, 0:1–28. https://doi.org/10.1002/job.2898",primary,Experiment,"SoSci-Survey, chatbot Alex, coding scheme","authors, research assistants",not applicable,,The data supporting the findings of this study and the Python code for the chatbot Alex are available from the authors upon request.,
J%20Organ%20Behavior%20-%202026%20-%20V%C3%B6lker%20-%20Through%20Rested%20Eyes%20The%20Relevance%20of%20Sleep%20for%20Dynamic%20Changes%20and%20Stable%20Differences.pdf,10.1002/job.70081,"Völker, Jette, Monika Wiegelmann, and Miriam Schilbach. ""Through Rested Eyes: The Relevance of Sleep for Dynamic Changes and Stable Differences in Employees' Stress Appraisals."" Journal of Organizational Behavior, 2026, 0:1–20. https://doi.org/10.1002/job.70081",primary,Self-administered questionnaire,surveys,four undergraduate psychology students and online via social media platforms,not applicable,,The data that support the findings of this study are openly available in OSF at https://osf.io/9xqwm/.,https://osf.io/9xqwm
J-08-00023.pdf,10.3390/j8030023,"Schlather, A., and M. Schlather. 2025. ""Depicting Falsifiability in Algebraic Modelling."" J 2025, 8, 23. https://doi.org/10.3390/j8030023",no data,not applicable,not applicable,not applicable,not applicable,,Data Availability Statement: Data are contained within the article.,
J.W%C3%BCstemann_Th.Brauchle%20bb-28-29-2019-1643-e359_BB-Rechtsprechungsreport%20Unternehmensbewertung_2018_19.pdf,,"Wüstemann, Jens, and Thomas Brauchle. ""BB-Rechtsprechungsreport Unternehmensbewertung 2018/19."" Betriebs-Berater, no. 28/29 (July 8, 2019): 1643-1644.",secondary,Compilation/Synthesis,not applicable,not applicable,court decisions,,,
jakob-et-al-2021-the-integrative-complexity-of-online-user-comments-across-different-types-of-democracy-and-discussion.pdf,10.1177/19401612211044018,"Jakob, Julia, Timo Dobbrick, and Hartmut Wessler. ""The Integrative Complexity of Online User Comments Across Different Types of Democracy and Discussion Arenas."" The International Journal of Press/Politics 28, no. 3 (2023): 580-600. doi:10.1177/19401612211044018",primary,Automated data extraction,base corpus,authors,not applicable,,The supplemental information ﬁles and the data underlying this article are available on the Open Science Framework: https://osf.io/nuqcj/?view_only=251c4201c5d544febde86258f816be17.,
jakob-et-al-2022-is-constructive-engagement-online-a-lost-cause-toxic-outrage-in-online-user-comments-across-democratic.pdf,10.1177/00936502211062773,"Jakob, Julia, Timo Dobbrick, Rainer Freudenthaler, Patrik Haffner, and Hartmut Wessler. 2023. ""Is Constructive Engagement Online a Lost Cause? Toxic Outrage in Online User Comments Across Democratic Political Systems and Discussion Arenas."" Communication Research 50 (4): 508–531. doi: 10.1177/00936502211062773.",primary,Automated data extraction,not applicable,authors,not applicable,10.17605/OSF.IO/XQ8BK,The data underlying this article can be shared upon reasonable request. Supplemental material for this article is available online at The Open Science Framework: https://doi.org/10.17605/OSF.IO/XQ8BK.,
Jalagania2021_Article_WildAnimalsAndDutiesOfAssistan.pdf,10.1007/s10806-021-09854-3,"Jalagania, Beka. ""Wild Animals and Duties of Assistance."" Journal of Agricultural and Environmental Ethics 34 (2021): 9. https://doi.org/10.1007/s10806-021-09854-3",no data,not applicable,not applicable,not applicable,not applicable,,,
Janke%20%26%20Dickh%C3%A4user%20%282013%29%20preprint.pdf,,"Stefan Janke & Oliver Dickhäuser. ""Strukturell verankerte Entscheidungsfreiheit im Bachelorstudium: Zur Bedeutsamkeit von Autonomie in den neuen Studienstrukturen"".",primary,Self-administered questionnaire,"Kurzskalen zur Erfassung von Studienzufriedenheit, Academic Emotions Questionaire, and a translated/adapted instrument from Gagné (2003)",S. Janke,not applicable,,,
Janke%20%26%20Dickh%C3%A4user%20%282018a%29%20preprint.pdf,,"Janke, S., & Dickhäuser, O. (in Druck). Zur prognostischen Güte von Zulassungskriterien im Psychologiestudium für Studienerfolgsindikatoren. Psychologische Rundschau.",secondary,Aggregation,hochschuleigenen Auswahlverfahren,not applicable,baden-württembergischen Universität,,,
Janke%20%26%20Dickh%C3%A4user%20%282018b%29%20preprint.pdf,,"Janke, S., & Dickhäuser, O. (in press). A situated process model of vocational achievement goal striving within members of the academic staff at university. Motivation & Emotion.",primary,Self-administered questionnaire,online survey,authors,not applicable,,,
Janke%20%26%20Dickh%C3%A4user%20%282019a%29%20preprint.pdf,,"Janke, S., & Dickhäuser, O. (in press). Different major, different goals: University students studying economics differ in life aspirations and achievement goal orientations from social science students. Learning & Individual Differences.",primary,Self-administered questionnaire,online survey,authors,not applicable,,,
Janke%20%26%20Dickh%C3%A4user%20%282019b%29%20preprint.pdf,,"Janke, Stefan and Oliver Dickhäuser. 2017. ""A Neglected Tenet of Achievement Goal Theory: Associations Between Life Aspirations and Achievement Goal Orientations."" Draft version: November 27th, 2017.",primary,Self-administered questionnaire,online survey,authors,not applicable,,,
Janke%20et%20al.%20%282016%29%20preprint.pdf,,"Janke, S., Nitsche, S., Praetorius, A. K., Benning, K., Fasching, M., Dresel, M., & Dickhäuser, O. (in press). Deconstructing performance goal orientations: The merit of a dimensional approach. Learning & Individual Differences.",primary,Self-administered questionnaire,online survey,authors,not applicable,,,
Janke%20et%20al.%20%282020%29%20preprint.pdf,,"Janke, Stefan, Julia Hein, Martin Daumiller, Raven Rinas, Edgar Erdfelder, Markus Dresel, and Oliver Dickhäuser. 2020. ""Lehr-Evaluation-Online (LEO) als Instrument zur studentischen Lehrveranstaltungsevaluation.""",primary,Self-administered questionnaire,Lehr-Evaluation-Online (LEO),authors,not applicable,,,
Janke%2C%20Nitsche%20%26%20Dickh%C3%A4user%20%282015%29%20preprint.pdf,,"Janke, S., Nitsche, S., & Dickhäuser, O. (in press). The role of perceived need satisfaction at work for teachers' work-related learning goal orientation. Teaching and Teacher Education.",primary,Self-administered questionnaire,online survey,authors,not applicable,,,
janke-et-al-2023-entwicklung-und-%C3%BCberpr%C3%BCfung-einer-kurzskala-zur-messung-akademischen-betrugsverhaltens-im-selbstbericht.pdf,10.1026/0012-1924/a000317,"Janke, Stefan, Tanja Fritz, Hernán González Cruz, Selma C. Rudert, and Martin Daumiller. ""Entwicklung und Überprüfung einer Kurzskala zur Messung akademischen Betrugsverhaltens im Selbstbericht."" Diagnostica (2023), 69 (4), 207–217. https://doi.org/10.1026/0012-1924/a000317",primary,Self-administered questionnaire,Short Scale for Assessing Academic Dishonesty,the authors,not applicable,,"Die Datensätze und die Mplus-Syntaxie für die durchgeführte Validierungsstudie sind unter Open Science Framework abrufbar. Die permanente URL, die auf diese Rohdaten verweist, findet sich unter https://osf.io/327s4.",https://osf.io/327s4
janke-et-al-2023-why-do-minority-students-feel-they-don-t-fit-in-migration-background-and-parental-education.pdf,10.1177/13684302221142781,"Janke, Stefan, Laura A. S. Messerer, Belinda Merkle, and Selma C. Rudert. ""Why do minority students feel they don’t fit in? Migration background and parental education differentially predict social ostracism and belongingness."" Group Processes & Intergroup Relations 27, no. 2 (2024): 278–299. https://doi.org/10.1177/13684302221142781",primary,Self-administered questionnaire,"Ostracism Short Scale (OSS), School Belonging Scale, Fragebogen zur Studienzufriedenheit",authors,not applicable,,"ing, outputs, and the relevant data for this contribution are provided at the Open Science Framework (OSF; https://osf.io/zmunf/).",https://osf.io/zmunf/
jcac008.pdf,10.1093/esr/jcac008,"Zhang, Nan, Johanna Gereke, and Delia Baldassarri. ""Everyday discrimination in public spaces: a field experiment in the milan metro."" European Sociological Review 38, no. 5 (2022): 679–693. https://doi.org/10.1093/esr/jcac008",primary,Experiment,coding scheme,authors and research assistant,not applicable,10.7910/DVN/6VYA0U,Replication materials are available through the Harvard Dataverse at https://doi.org/10.7910/DVN/6VYA0U.,
jcad023.pdf,10.1093/esr/jcad023,"Dollmann, Jörg, Jan O. Jonsson, Carina Mood, and Frida Rudolphi. ""Is ‘immigrant optimism’ in educational choice a problem? Ethnic gaps in Swedish upper secondary school completion."" European Sociological Review 39, no. 3 (2023): 384–399. https://doi.org/10.1093/esr/jcad023",mixed,Simulation,simulation model,authors,Swedish educational and population registers,,,
jcaf005.pdf,10.1093/esr/jcaf005,"Gauthier, Anne H., Siyang Kong, Olga Grünwald, Martin Bujard, Arianna Caporali, Vytenis Juozas Deimantas, Tom Emery, Wojciech Jablonski, Judith C. Koops, Arieke Rijken, and Almut Schumann. ""The Generations and Gender Survey: a cross-national longitudinal resource."" European Sociological Review 41, no. 6 (2025): 983–1001. https://doi.org/10.1093/esr/jcaf005",primary,Interview,questionnaire,national teams,not applicable,,The data underlying this article are available in the GGP Data Portal.,
jcaf008.pdf,10.1093/esr/jcaf008,"Schunck, Reinhard, Johanna Gereke, and Emily Hellriegel. ""Gendered beauty inequalities? A multiverse analysis of physical attractiveness, occupational gender-typicality and earnings in the German labour market."" European Sociological Review 41, no. 6 (2025): 935–950. doi:10.1093/esr/jcaf008",secondary,Interview,pairfam survey,not applicable,German Family Panel pairfam,,"The data from the German Family Panel pairfam are hosted at GESIS - Leibniz-Institute for the Social Sciences and are available for scientific purposes. Students and employees of universities and research institutions may apply for data access directly from pairfam, as described here: https://www.pairfam.de/en/data/data-access/.",https://osf.io/ug4xj/
jcaf032.pdf,10.1093/esr/jcaf032,"Brücker, Herbert, Yuliya Kosyakova, Nina Rother, Sabine Zinn, Elisabeth Liebau, Wenke Gider, Silvia Schwanhäuser, and Manuel Siegert. ""Exploring integration and migration dynamics: the research potentials of a large-scale longitudinal household study of refugees in Germany."" European Sociological Review, 2025, 1-18. doi:10.1093/esr/jcaf032",primary,Interview,questionnaire,KANTAR Public (2016–2020) and infas (from 2021),not applicable,,,https://github.com/bieneSchwarze/StudyPaper_IAB-BAMF-SOEP-Refugee-Survey
jcal.12571.pdf,10.1111/jcal.12571,"Kühl, Tim and Stefan Münzer. ""Learning about a serious disease: When a personalized message is harmful unless you are happy."" Journal of Computer Assisted Learning 2021;1–12. doi: 10.1111/jcal.12571.",primary,Experiment,Unipark,authors,not applicable,,The data that support the findings of this study are available on request from the corresponding author. The data are not publicly available due to privacy or ethical restrictions.,
jcm-09-03638.pdf,10.3390/jcm9113638,"Hobusch, Gerhard M., Florian Keusch, Hiroyuki Tsuchiya, Michael Joyce, and Reinhard Windhager. ""What Opinions Do Tumor Reconstructive Surgeons Have about Sports Activity after Megaprosthetic Replacement in Hip and Knee? Results of the MoReSports Expert Opinion Online Survey."" Journal of Clinical Medicine 9, no. 11 (2020): 3638. doi:10.3390/jcm9113638.",primary,Self-administered questionnaire,Qualtrics Research Core,the authors,not applicable,,,
jcom-1417-zimmermann.pdf,10.22323/2.23090205,"Zimmermann, Fabian, Christine Petersen, and Matthias Kohring. ""Public (dis)trust in science in digital media environments: Who, if not science, can you trust to guide you through a crisis? The relationship between public trust in science and exposure to established and alternative online sources in times of crisis."" Journal of Science Communication 23, no. 09 (2024): A05. https://doi.org/10.22323/2.23090205",primary,Self-administered questionnaire,online survey,the authors,not applicable,,Supplementary material Available at https://doi.org/10.22323/2.23090205,The R script that we used for data preparation and analysis can be found in the supplemental materials.
jdd-981-l%C3%B6b.pdf,https://doi.org/10.16997/jdd.981,"Löb, C., & Wessler, H. (2021). Mediated Deliberation in Deep Conflicts: How Might Deliberative Media Content Contribute to Social Integration Across Deep Divides? Journal of Deliberative Democracy, 17(2), 69–80. https://doi.org/10.16997/jdd.981",no data,not applicable,not applicable,not applicable,not applicable,,,
jdd-983-g%C3%A4rtner.pdf,https://doi.org/10.16997/jdd.983,"Gärtner, L., Alexander Wuttke, and Harald Schoen. ""Who Talks and Who Listens? How Political Involvement Influences the Potential for Democratic Deliberation in Everyday Political Talk."" Journal of Deliberative Democracy 17, no. 2 (2021): 13–30. https://doi.org/10.16997/jdd.983",secondary,Self-administered questionnaire,online access panel,not applicable,GLES Campaign Panel 2017,10.17605/OSF.IO/VUGPM,"Replication material (data, Stata syntaxes) for all analyses is available at https://doi.org/10.17605/OSF.IO/VUGPM.",https://doi.org/10.17605/OSF.IO/VUGPM
jdd-984-grill-1.pdf,https://doi.org/10.16997/jdd.984,"Grill, Christiane, and Anne Schäfer. 2021. ""Introduction: Deliberative Qualities of Communication."" Journal of Deliberative Democracy 17 (2): 130–132. https://doi.org/10.16997/jdd.984",no data,not applicable,not applicable,not applicable,not applicable,,,
