filename,url,madoc_identifier,title,creators,year,citation
Effects%20of%20teacher%20peer%20and%20self-feedback%20on%20student%20improvement%20in%20online%20assessment%20the%20role%20of%20individuals%20presumptions%20and%20feedback%20literacy.pdf,https://madoc.bib.uni-mannheim.de/70571/1/Effects%20of%20teacher%20peer%20and%20self-feedback%20on%20student%20improvement%20in%20online%20assessment%20the%20role%20of%20individuals%20presumptions%20and%20feedback%20literacy.pdf,https://madoc.bib.uni-mannheim.de/70571/,"Effects of teacher, peer and self-feedback on student improvement in online assessment: the role of individuals’ presumptions and feedback literacy","Heil, Joana; Ifenthaler, Dirk",2026,"Heil, Joana; Ifenthaler, Dirk (2026) “Effects of teacher, peer and self-feedback on student improvement in online assessment: the role of individuals’ presumptions and feedback literacy.” https://madoc.bib.uni-mannheim.de/70571/"
Efforts_in_Europe_for_data-driven_improvement%20_ijai.pdf,https://madoc.bib.uni-mannheim.de/52834/1/Efforts_in_Europe_for_data-driven_improvement%20_ijai.pdf,https://madoc.bib.uni-mannheim.de/52834/,Efforts in Europe for data-driven improvement of education : A review of learning analytics research in seven countries,"Nouri, Jalal; Ebner, Martin; Ifenthaler, Dirk; Saqr, Mohammed; Malmberg, Jonna; Khalil, Mohammad; Bruun, Jesper; Viberg, Olga; Conde González, Miguel Ángel; Papamitsiou, Zacharoula; Berthelsen, Ulf Dalvad",2019,"Nouri, Jalal; Ebner, Martin; Ifenthaler, Dirk; Saqr, Mohammed; Malmberg, Jonna; Khalil, Mohammad; Bruun, Jesper; Viberg, Olga; Conde González, Miguel Ángel; Papamitsiou, Zacharoula; Berthelsen, Ulf Dalvad (2019) “Efforts in Europe for data-driven improvement of education : A review of learning analytics research in seven countries.” https://madoc.bib.uni-mannheim.de/52834/"
Einf%C3%BChrung%20des%20IFRS%209-%20Auswirkungen%20auf%20das%20Hedge%20Accounting%20von%20Finanzinstituten%202017.pdf,https://madoc.bib.uni-mannheim.de/44128/1/Einf%C3%BChrung%20des%20IFRS%209-%20Auswirkungen%20auf%20das%20Hedge%20Accounting%20von%20Finanzinstituten%202017.pdf,https://madoc.bib.uni-mannheim.de/44128/,Einführung des IFRS 9 : Auswirkungen auf das Hedge Accounting von Finanzinstituten,"Bischof, Jannis; Backes, Matthias",2017,"Bischof, Jannis; Backes, Matthias (2017) “Einführung des IFRS 9 : Auswirkungen auf das Hedge Accounting von Finanzinstituten.” https://madoc.bib.uni-mannheim.de/44128/"
Einsatz_der_Bundeswehr_gegen_Spionagedrohnen.pdf,https://madoc.bib.uni-mannheim.de/71330/1/Einsatz_der_Bundeswehr_gegen_Spionagedrohnen.pdf,https://madoc.bib.uni-mannheim.de/71330/,Einsatz der Bundeswehr gegen Spionagedrohnen?,"Johannsen, Josina; Maltzahn, Hans Flemming",2025,"Johannsen, Josina; Maltzahn, Hans Flemming (2025) “Einsatz der Bundeswehr gegen Spionagedrohnen?.” https://madoc.bib.uni-mannheim.de/71330/"
Eisenbarth%2C_Gerdes_a_Alpers_2011.pdf,https://madoc.bib.uni-mannheim.de/30287/1/Eisenbarth%2C_Gerdes_a_Alpers_2011.pdf,https://madoc.bib.uni-mannheim.de/30287/,Motor-Incompatibility of Facial Reactions : The influence of valence and stimulus content on voluntary facial reactions,"Eisenbarth, Hedwig; Gerdes, Antje B. M.; Alpers, Georg W.",2011,"Eisenbarth, Hedwig; Gerdes, Antje B. M.; Alpers, Georg W. (2011) “Motor-Incompatibility of Facial Reactions : The influence of valence and stimulus content on voluntary facial reactions.” https://madoc.bib.uni-mannheim.de/30287/"
Eisenbarth_a_Alpers_2011.pdf,https://madoc.bib.uni-mannheim.de/30286/1/Eisenbarth_a_Alpers_2011.pdf,https://madoc.bib.uni-mannheim.de/30286/,Happy Mouth and Sad Eyes : Scanning Emotional Facial Expressions,"Eisenbarth, Hedwig; Alpers, Georg W.",2011,"Eisenbarth, Hedwig; Alpers, Georg W. (2011) “Happy Mouth and Sad Eyes : Scanning Emotional Facial Expressions.” https://madoc.bib.uni-mannheim.de/30286/"
Emmer_et_al-2019-Obesity_Reviews.pdf,https://madoc.bib.uni-mannheim.de/51571/1/Emmer_et_al-2019-Obesity_Reviews.pdf,https://madoc.bib.uni-mannheim.de/51571/,The association between weight stigma and mental health: a meta-analysis,"Emmer, Christine; Bosnjak, Michael; Mata, Jutta",2020,"Emmer, Christine; Bosnjak, Michael; Mata, Jutta (2020) “The association between weight stigma and mental health: a meta-analysis.” https://madoc.bib.uni-mannheim.de/51571/"
Emotion-enhanced%20source%20memory%20effects%20of%20age%20and%20experimental%20setting-1.pdf,https://madoc.bib.uni-mannheim.de/70687/1/Emotion-enhanced%20source%20memory%20effects%20of%20age%20and%20experimental%20setting-1.pdf,https://madoc.bib.uni-mannheim.de/70687/,Emotion-enhanced source memory: effects of age and experimental setting,"Symeonidou, Nikoletta",2025,"Symeonidou, Nikoletta (2025) “Emotion-enhanced source memory: effects of age and experimental setting.” https://madoc.bib.uni-mannheim.de/70687/"
Enhancing%20Theory-Informed%20Dictionary%20Approaches%20with%20Glass-box%20Machine%20Learning%20The%20Case%20of%20Integrative%20Complexity%20in%20Social%20Media%20Comments.pdf,https://madoc.bib.uni-mannheim.de/60949/1/Enhancing%20Theory-Informed%20Dictionary%20Approaches%20with%20Glass-box%20Machine%20Learning%20The%20Case%20of%20Integrative%20Complexity%20in%20Social%20Media%20Comments.pdf,https://madoc.bib.uni-mannheim.de/60949/,Enhancing theory-informed dictionary approaches with “glass-box” machine learning: The case of integrative complexity in social media comments,"Dobbrick, Timo; Jakob, Julia; Chan, Chung-hong; Wessler, Hartmut",2021,"Dobbrick, Timo; Jakob, Julia; Chan, Chung-hong; Wessler, Hartmut (2021) “Enhancing theory-informed dictionary approaches with “glass-box” machine learning: The case of integrative complexity in social media comments.” https://madoc.bib.uni-mannheim.de/60949/"
Enhancing%20objectivity%20and%20decision%20relevance%20a%20better%20framework%20for%20evaluating%20EU%20cohesion%20policies.pdf,https://madoc.bib.uni-mannheim.de/71978/1/Enhancing%20objectivity%20and%20decision%20relevance%20a%20better%20framework%20for%20evaluating%20EU%20cohesion%20policies.pdf,https://madoc.bib.uni-mannheim.de/71978/,Enhancing objectivity and decision relevance: a better framework for evaluating cohesion policies,"Heinemann, Friedrich; Asatryan, Zareh; Bachtrögler-Unger, Julia; Birkholz, Carlo; Corti, Franceso; Ehrlich, Maximilian von; Fratesi, Ugo; Fuest, Clemens; Lang, Valentin; Weber, Martin",2026,"Heinemann, Friedrich; Asatryan, Zareh; Bachtrögler-Unger, Julia; Birkholz, Carlo; Corti, Franceso; Ehrlich, Maximilian von; Fratesi, Ugo; Fuest, Clemens; Lang, Valentin; Weber, Martin (2026) “Enhancing objectivity and decision relevance: a better framework for evaluating cohesion policies.” https://madoc.bib.uni-mannheim.de/71978/"
Epperson_et_al-2019-Journal_of_Economic_Surveys.pdf,https://madoc.bib.uni-mannheim.de/51990/1/Epperson_et_al-2019-Journal_of_Economic_Surveys.pdf,https://madoc.bib.uni-mannheim.de/51990/,Matching subsidies and voluntary contributions: A review,"Epperson, Raphael; Reif, Christiane",2019,"Epperson, Raphael; Reif, Christiane (2019) “Matching subsidies and voluntary contributions: A review.” https://madoc.bib.uni-mannheim.de/51990/"
Erdfelder%20%282018%29%20mit%20Literatur.pdf,https://madoc.bib.uni-mannheim.de/45237/1/Erdfelder%20%282018%29%20mit%20Literatur.pdf,https://madoc.bib.uni-mannheim.de/45237/,Fallstricke statistischer Signifikanz : Wissenschaftliche Fachzeitschriften und die Replikationskrise,"Erdfelder, Edgar",2018,"Erdfelder, Edgar (2018) “Fallstricke statistischer Signifikanz : Wissenschaftliche Fachzeitschriften und die Replikationskrise.” https://madoc.bib.uni-mannheim.de/45237/"
Ethnic%20diversity%20and%20cooperation%20evidence%20from%20a%20lost%20letter%20experiment.pdf,https://madoc.bib.uni-mannheim.de/66953/1/Ethnic%20diversity%20and%20cooperation%20evidence%20from%20a%20lost%20letter%20experiment.pdf,https://madoc.bib.uni-mannheim.de/66953/,Ethnic diversity and cooperation: evidence from a lost letter experiment,"Zhang, Nan; Kommol, Alexandra",2024,"Zhang, Nan; Kommol, Alexandra (2024) “Ethnic diversity and cooperation: evidence from a lost letter experiment.” https://madoc.bib.uni-mannheim.de/66953/"
Euro%20J%20Social%20Psych%20-%202021%20-%20Boileau%20-%20The%20mixed%20bag%20of%20segregation%20On%20positive%20and%20negative%20associations%20with%20migrants%20.pdf,https://madoc.bib.uni-mannheim.de/62210/1/Euro%20J%20Social%20Psych%20-%202021%20-%20Boileau%20-%20The%20mixed%20bag%20of%20segregation%20On%20positive%20and%20negative%20associations%20with%20migrants%20.pdf,https://madoc.bib.uni-mannheim.de/62210/,The 'mixed bag’ of segregation - On positive and negative associations with migrants’ acculturation,"Boileau, Lucia Lou-Anne; Bless, Herbert; Gebauer, Jochen E.",2022,"Boileau, Lucia Lou-Anne; Bless, Herbert; Gebauer, Jochen E. (2022) “The 'mixed bag’ of segregation - On positive and negative associations with migrants’ acculturation.” https://madoc.bib.uni-mannheim.de/62210/"
Euro%20J%20Social%20Psych%20-%202024%20-%20Salwender%20-%20Do%20women%20only%20apply%20when%20they%20are%20100%20qualified%20whereas%20men%20already%20apply%20when-1.pdf,https://madoc.bib.uni-mannheim.de/67751/1/Euro%20J%20Social%20Psych%20-%202024%20-%20Salwender%20-%20Do%20women%20only%20apply%20when%20they%20are%20100%20qualified%20whereas%20men%20already%20apply%20when-1.pdf,https://madoc.bib.uni-mannheim.de/67751/,"Do women only apply when they are 100% qualified, whereas men already apply when they are 60% qualified?","Salwender, Mona; Stahlberg, Dagmar",2024,"Salwender, Mona; Stahlberg, Dagmar (2024) “Do women only apply when they are 100% qualified, whereas men already apply when they are 60% qualified?.” https://madoc.bib.uni-mannheim.de/67751/"
Euro%20J%20Social%20Psych%20-%202025%20-%20Stavrova%20-%20Turning%20the%20Camera%20Off%20in%20Virtual%20Interactions%20Can%20Harm%20the%20Reputation.pdf,https://madoc.bib.uni-mannheim.de/71619/1/Euro%20J%20Social%20Psych%20-%202025%20-%20Stavrova%20-%20Turning%20the%20Camera%20Off%20in%20Virtual%20Interactions%20Can%20Harm%20the%20Reputation.pdf,https://madoc.bib.uni-mannheim.de/71619/,Turning the camera off in virtual interactions can harm the reputation,"Stavrova, Olga; Ren, Dongning; Evans, Anthony M.",2025,"Stavrova, Olga; Ren, Dongning; Evans, Anthony M. (2025) “Turning the camera off in virtual interactions can harm the reputation.” https://madoc.bib.uni-mannheim.de/71619/"
Euro%20J%20of%20Neurology%20-%202024%20-%20Rink%20-%20Mobile%20stroke%20units%20services%20in%20Germany%20A%20cost%E2%80%90effectiveness%20modeling%20perspective%20on.pdf,https://madoc.bib.uni-mannheim.de/68132/1/Euro%20J%20of%20Neurology%20-%202024%20-%20Rink%20-%20Mobile%20stroke%20units%20services%20in%20Germany%20A%20cost%E2%80%90effectiveness%20modeling%20perspective%20on.pdf,https://madoc.bib.uni-mannheim.de/68132/,"Mobile stroke units services in Germany: A cost-effectiveness modeling perspective on catchment zones, operating modes, and staffing","Rink, Johann; Szabo, Kristina; Hoyer, Carolin; Saver, Jeffrey L.; Nour, May; Audebert, Heinrich J.; Kunz, Wolfgang G.; Froelich, Matthias F.; Heinzl, Armin; Tschalzev, Andrej; Hoffmann, Jens; Schoenberg, Stefan O.; Tollens, Fabian",2025,"Rink, Johann; Szabo, Kristina; Hoyer, Carolin; Saver, Jeffrey L.; Nour, May; Audebert, Heinrich J.; Kunz, Wolfgang G.; Froelich, Matthias F.; Heinzl, Armin; Tschalzev, Andrej; Hoffmann, Jens; Schoenberg, Stefan O.; Tollens, Fabian (2025) “Mobile stroke units services in Germany: A cost-effectiveness modeling perspective on catchment zones, operating modes, and staffing.” https://madoc.bib.uni-mannheim.de/68132/"
European%20J%20Political%20Res%20-%202020%20-%20BOL%20-%20The%20importance%20of%20personal%20vote%20intentions%20for%20the%20responsiveness%20of%20legislators%20A.pdf,https://madoc.bib.uni-mannheim.de/61497/1/European%20J%20Political%20Res%20-%202020%20-%20BOL%20-%20The%20importance%20of%20personal%20vote%20intentions%20for%20the%20responsiveness%20of%20legislators%20A.pdf,https://madoc.bib.uni-mannheim.de/61497/,The importance of personal vote intentions for the responsiveness of legislators: A field experiment,"Bol, Damien; Gschwend, Thomas; Zittel, Thomas; Zittlau, Steffen",2021,"Bol, Damien; Gschwend, Thomas; Zittel, Thomas; Zittlau, Steffen (2021) “The importance of personal vote intentions for the responsiveness of legislators: A field experiment.” https://madoc.bib.uni-mannheim.de/61497/"
European%20J%20Political%20Res%20-%202020%20-%20ZILLER%20-%20Public%20support%20for%20state%20surveillance.pdf,https://madoc.bib.uni-mannheim.de/57639/1/European%20J%20Political%20Res%20-%202020%20-%20ZILLER%20-%20Public%20support%20for%20state%20surveillance.pdf,https://madoc.bib.uni-mannheim.de/57639/,Public support for state surveillance,"Ziller, Conrad; Helbling, Marc",2021,"Ziller, Conrad; Helbling, Marc (2021) “Public support for state surveillance.” https://madoc.bib.uni-mannheim.de/57639/"
European%20J%20Political%20Res%20-%202021%20-%20PLESCIA%20-%20Do%20party%20supporters%20accept%20policy%20compromises%20in%20coalition%20governments.pdf,https://madoc.bib.uni-mannheim.de/64798/1/European%20J%20Political%20Res%20-%202021%20-%20PLESCIA%20-%20Do%20party%20supporters%20accept%20policy%20compromises%20in%20coalition%20governments.pdf,https://madoc.bib.uni-mannheim.de/64798/,Do party supporters accept policy compromises in coalition governments?,"Plescia, Carolina; Ecker, Alejandro; Meyer, Thomas M.",2022,"Plescia, Carolina; Ecker, Alejandro; Meyer, Thomas M. (2022) “Do party supporters accept policy compromises in coalition governments?.” https://madoc.bib.uni-mannheim.de/64798/"
European%20J%20Political%20Res%20-%202021%20-%20STERNBERG%20-%20The%20legitimacy%E2%80%90conferring%20capacity%20of%20constitutional%20courts%20Evidence%20from%20a.pdf,https://madoc.bib.uni-mannheim.de/63789/1/European%20J%20Political%20Res%20-%202021%20-%20STERNBERG%20-%20The%20legitimacy%E2%80%90conferring%20capacity%20of%20constitutional%20courts%20Evidence%20from%20a.pdf,https://madoc.bib.uni-mannheim.de/63789/,The legitimacy-conferring capacity of constitutional courts: Evidence from a comparative survey experiment,"Sternberg, Sebastian; Brouard, Sylvain; Hönnige, Christoph",2022,"Sternberg, Sebastian; Brouard, Sylvain; Hönnige, Christoph (2022) “The legitimacy-conferring capacity of constitutional courts: Evidence from a comparative survey experiment.” https://madoc.bib.uni-mannheim.de/63789/"
European%20J%20Political%20Res%20-%202022%20-%20AUER.pdf,https://madoc.bib.uni-mannheim.de/62653/1/European%20J%20Political%20Res%20-%202022%20-%20AUER.pdf,https://madoc.bib.uni-mannheim.de/62653/,How one gesture curbed ethnic discrimination,"Auer, Daniel; Ruedin, Didier",2023,"Auer, Daniel; Ruedin, Didier (2023) “How one gesture curbed ethnic discrimination.” https://madoc.bib.uni-mannheim.de/62653/"
European%20J%20Political%20Res%20-%202022%20-%20B%20HMELT%20-%20Populism%20and%20intra%E2%80%90party%20democracy.pdf,https://madoc.bib.uni-mannheim.de/62436/1/European%20J%20Political%20Res%20-%202022%20-%20B%20HMELT%20-%20Populism%20and%20intra%E2%80%90party%20democracy.pdf,https://madoc.bib.uni-mannheim.de/62436/,Populism and intra-party democracy,"Böhmelt, Tobias; Ezrow, Lawrence; Lehrer, Roni",2022,"Böhmelt, Tobias; Ezrow, Lawrence; Lehrer, Roni (2022) “Populism and intra-party democracy.” https://madoc.bib.uni-mannheim.de/62436/"
European%20J%20Political%20Res%20-%202022%20-%20K%20NIG%20-%20Government%20dominance%20and%20the%20role%20of%20opposition%20in%20parliamentary%20democracies.pdf,https://madoc.bib.uni-mannheim.de/61869/1/European%20J%20Political%20Res%20-%202022%20-%20K%20NIG%20-%20Government%20dominance%20and%20the%20role%20of%20opposition%20in%20parliamentary%20democracies.pdf,https://madoc.bib.uni-mannheim.de/61869/,Government dominance and the role of opposition in parliamentary democracies,"König, Thomas; Lin, Nick; Silva, Thiago N.",2023,"König, Thomas; Lin, Nick; Silva, Thiago N. (2023) “Government dominance and the role of opposition in parliamentary democracies.” https://madoc.bib.uni-mannheim.de/61869/"
European%20J%20Political%20Res%20-%202022%20-%20KIRKIZH%20-%20Issue%20trade%E2%80%90offs%20and%20the%20politics%20of%20representation%20Experimental%20evidence%20from.pdf,https://madoc.bib.uni-mannheim.de/67939/1/European%20J%20Political%20Res%20-%202022%20-%20KIRKIZH%20-%20Issue%20trade%E2%80%90offs%20and%20the%20politics%20of%20representation%20Experimental%20evidence%20from.pdf,https://madoc.bib.uni-mannheim.de/67939/,Issue trade-offs and the politics of representation: experimental evidence from four European democracies,"Kirkizh, Nora; Froio, Caterina; Stier, Sebastian",2023,"Kirkizh, Nora; Froio, Caterina; Stier, Sebastian (2023) “Issue trade-offs and the politics of representation: experimental evidence from four European democracies.” https://madoc.bib.uni-mannheim.de/67939/"
European%20J%20Political%20Res%20-%202023%20-%20BEHRENS%20-%20Political%20ambition%20-1.pdf,https://madoc.bib.uni-mannheim.de/65747/1/European%20J%20Political%20Res%20-%202023%20-%20BEHRENS%20-%20Political%20ambition%20-1.pdf,https://madoc.bib.uni-mannheim.de/65747/,Political ambition and opposition legislative review: Bill scrutiny as an intra-party signalling device,"Behrens, Lion; Nyhuis, Dominic; Gschwend, Thomas",2023,"Behrens, Lion; Nyhuis, Dominic; Gschwend, Thomas (2023) “Political ambition and opposition legislative review: Bill scrutiny as an intra-party signalling device.” https://madoc.bib.uni-mannheim.de/65747/"
European%20J%20Political%20Res%20-%202023%20-%20MADER%20-%20International%20threats%20and%20support%20for%20European%20security%20and%20defence%20integration%20.pdf,https://madoc.bib.uni-mannheim.de/64810/1/European%20J%20Political%20Res%20-%202023%20-%20MADER%20-%20International%20threats%20and%20support%20for%20European%20security%20and%20defence%20integration%20.pdf,https://madoc.bib.uni-mannheim.de/64810/,International threats and support for European security and defence integration: Evidence from 25 countries,"Mader, Matthias; Gavras, Konstantin; Hofmann, Stefanie C.; Reifler, Jason; Schoen, Harald; Thomson, Catarina",2024,"Mader, Matthias; Gavras, Konstantin; Hofmann, Stefanie C.; Reifler, Jason; Schoen, Harald; Thomson, Catarina (2024) “International threats and support for European security and defence integration: Evidence from 25 countries.” https://madoc.bib.uni-mannheim.de/64810/"
European%20J%20Political%20Res%20-%202023%20-%20STEINER%20-%20Subjective%20losers%20of%20globalization.pdf,https://madoc.bib.uni-mannheim.de/64703/1/European%20J%20Political%20Res%20-%202023%20-%20STEINER%20-%20Subjective%20losers%20of%20globalization.pdf,https://madoc.bib.uni-mannheim.de/64703/,Subjective losers of globalization,"Steiner, Nils D.; Mader, Matthias; Schoen, Harald",2024,"Steiner, Nils D.; Mader, Matthias; Schoen, Harald (2024) “Subjective losers of globalization.” https://madoc.bib.uni-mannheim.de/64703/"
European%20J%20Political%20Res%20-%202024%20-%20LEHRER%20-%20Rallying%20around%20the%20leader%20in%20times%20of%20crises%20The%20opposing%20effects%20of%20perceived.pdf,https://madoc.bib.uni-mannheim.de/67754/1/European%20J%20Political%20Res%20-%202024%20-%20LEHRER%20-%20Rallying%20around%20the%20leader%20in%20times%20of%20crises%20The%20opposing%20effects%20of%20perceived.pdf,https://madoc.bib.uni-mannheim.de/67754/,Rallying around the leader in times of crises: The opposing effects of perceived threat and anxiety,"Lehrer, Roni; Bahnsen, Oke; Müller, Klara; Neunhoeffer, Marcel; Gschwend, Thomas; Juhl, Sebastian",2025,"Lehrer, Roni; Bahnsen, Oke; Müller, Klara; Neunhoeffer, Marcel; Gschwend, Thomas; Juhl, Sebastian (2025) “Rallying around the leader in times of crises: The opposing effects of perceived threat and anxiety.” https://madoc.bib.uni-mannheim.de/67754/"
European%20Journal%20of%20Psychology%20and%20Education%2FHow%20students%20build%20their%20performance%20expectancies%20%282010%29.pdf,,,,,,
Expert%20Informed%20Topic%20Models%20for%20Document%20Set%20Discovery.pdf,https://madoc.bib.uni-mannheim.de/61632/1/Expert%20Informed%20Topic%20Models%20for%20Document%20Set%20Discovery.pdf,https://madoc.bib.uni-mannheim.de/61632/,Expert-informed topic models for document set discovery,"Rinke, Eike Mark; Dobbrick, Timo; Löb, Charlotte; Zirn, Cäcilia; Wessler, Hartmut",2022,"Rinke, Eike Mark; Dobbrick, Timo; Löb, Charlotte; Zirn, Cäcilia; Wessler, Hartmut (2022) “Expert-informed topic models for document set discovery.” https://madoc.bib.uni-mannheim.de/61632/"
Expertise%20and%20specialization%20in%20organizations%20a%20social%20network%20analysis_.pdf,https://madoc.bib.uni-mannheim.de/67687/1/Expertise%20and%20specialization%20in%20organizations%20a%20social%20network%20analysis_.pdf,https://madoc.bib.uni-mannheim.de/67687/,Expertise and specialization in organizations: a social network analysis,"Köhler, Daniel Paul; Rausch, Andreas; Biemann, Torsten; Büchsenschuss, Ralf",2025,"Köhler, Daniel Paul; Rausch, Andreas; Biemann, Torsten; Büchsenschuss, Ralf (2025) “Expertise and specialization in organizations: a social network analysis.” https://madoc.bib.uni-mannheim.de/67687/"
Extended%20reality%20in%20B2B%20sales%20interactions.pdf,https://madoc.bib.uni-mannheim.de/71135/1/Extended%20reality%20in%20B2B%20sales%20interactions.pdf,https://madoc.bib.uni-mannheim.de/71135/,Extended reality in B2B sales interactions,"Riether, Janina Anna Dorothea; Ruhnau, Robin-Christopher; Homburg, Christian",2026,"Riether, Janina Anna Dorothea; Ruhnau, Robin-Christopher; Homburg, Christian (2026) “Extended reality in B2B sales interactions.” https://madoc.bib.uni-mannheim.de/71135/"
F%C3%BCrnkranz2020_Article_OnCognitivePreferencesAndThePl.pdf,https://madoc.bib.uni-mannheim.de/53387/1/F%C3%BCrnkranz2020_Article_OnCognitivePreferencesAndThePl.pdf,https://madoc.bib.uni-mannheim.de/53387/,On cognitive preferences and the plausibility of rule-based models,"Fürnkranz, Johannes; Kliegr, Tomáš; Paulheim, Heiko",2020,"Fürnkranz, Johannes; Kliegr, Tomáš; Paulheim, Heiko (2020) “On cognitive preferences and the plausibility of rule-based models.” https://madoc.bib.uni-mannheim.de/53387/"
FRG-2010-Ringhofer-Christian.RepairModel100824.pdf,https://madoc.bib.uni-mannheim.de/34799/1/FRG-2010-Ringhofer-Christian.RepairModel100824.pdf,https://madoc.bib.uni-mannheim.de/34799/,Production systems with limited repair capacity,"Göttlich, Simone; Herty, Michael; Ringhofer, Christian; Ziegler, Ute",2012,"Göttlich, Simone; Herty, Michael; Ringhofer, Christian; Ziegler, Ute (2012) “Production systems with limited repair capacity.” https://madoc.bib.uni-mannheim.de/34799/"
Facebook%20as%20an%20Avenue%20to%20News%20A%20Comparison%20and%20Validation%20of%20Approaches%20to%20Identify%20Facebook%20Referrals.pdf,https://madoc.bib.uni-mannheim.de/69343/1/Facebook%20as%20an%20Avenue%20to%20News%20A%20Comparison%20and%20Validation%20of%20Approaches%20to%20Identify%20Facebook%20Referrals.pdf,https://madoc.bib.uni-mannheim.de/69343/,Facebook as an avenue to news: a comparison and validation of approaches to identify Facebook referrals,"Schmidt, Felix; Mangold, Frank; Stier, Sebastian; Ulloa, Roberto",2024,"Schmidt, Felix; Mangold, Frank; Stier, Sebastian; Ulloa, Roberto (2024) “Facebook as an avenue to news: a comparison and validation of approaches to identify Facebook referrals.” https://madoc.bib.uni-mannheim.de/69343/"
Fare%20Differently%2C%20Feel%20Differently_JS%2BDB2020.pdf,https://madoc.bib.uni-mannheim.de/57512/1/Fare%20Differently%2C%20Feel%20Differently_JS%2BDB2020.pdf,https://madoc.bib.uni-mannheim.de/57512/,"Fare differently, feel differently: mental well-being of UK-born and foreign-born working men during the COVID-19 pandemic","Shen, Jing; Bartram, David",2021,"Shen, Jing; Bartram, David (2021) “Fare differently, feel differently: mental well-being of UK-born and foreign-born working men during the COVID-19 pandemic.” https://madoc.bib.uni-mannheim.de/57512/"
FavPagavT.pdf,https://madoc.bib.uni-mannheim.de/31932/1/FavPagavT.pdf,https://madoc.bib.uni-mannheim.de/31932/,How does liquidity affect government bond yields?,"Favero, Carlo; Pagano, Marco; Thadden, Ernst-Ludwig von",2010,"Favero, Carlo; Pagano, Marco; Thadden, Ernst-Ludwig von (2010) “How does liquidity affect government bond yields?.” https://madoc.bib.uni-mannheim.de/31932/"
Fictions%20of%20Recognition%20Myth%20and%20Alternative%20Epistemologies%20in%20Contemporary%20Eco-Fiction.pdf,https://madoc.bib.uni-mannheim.de/72108/1/Fictions%20of%20Recognition%20Myth%20and%20Alternative%20Epistemologies%20in%20Contemporary%20Eco-Fiction.pdf,https://madoc.bib.uni-mannheim.de/72108/,Fictions of recognition: myth and alternative epistemologies in contemporary eco-fiction,"Lusin, Caroline",2026,"Lusin, Caroline (2026) “Fictions of recognition: myth and alternative epistemologies in contemporary eco-fiction.” https://madoc.bib.uni-mannheim.de/72108/"
Financ%20Acc%20Manag%20-%202022%20-%20Unda%20-%20Role%20expectations%20and%20shared%20accountability%20A%20framework%20for%20school%20governance.pdf,https://madoc.bib.uni-mannheim.de/61771/1/Financ%20Acc%20Manag%20-%202022%20-%20Unda%20-%20Role%20expectations%20and%20shared%20accountability%20A%20framework%20for%20school%20governance.pdf,https://madoc.bib.uni-mannheim.de/61771/,Role expectations and shared accountability: A framework for school governance,"Unda, Luisa A.; Gong, Zhiyun; Benati, Kelly; Loh, Chin Moi",2023,"Unda, Luisa A.; Gong, Zhiyun; Benati, Kelly; Loh, Chin Moi (2023) “Role expectations and shared accountability: A framework for school governance.” https://madoc.bib.uni-mannheim.de/61771/"
Financ%20Manag%20Account%20-%202025%20-%20Becker%20-%20Political%20Ideology%20Shapes%20Reporting%20Regulation%20SEC%20Commissioners%20Views%20on%20IFRS%20for.pdf,https://madoc.bib.uni-mannheim.de/68977/1/Financ%20Manag%20Account%20-%202025%20-%20Becker%20-%20Political%20Ideology%20Shapes%20Reporting%20Regulation%20SEC%20Commissioners%20Views%20on%20IFRS%20for.pdf,https://madoc.bib.uni-mannheim.de/68977/,Political ideology shapes reporting regulation: SEC commissioners' views on IFRS for US issuers,"Becker, Kirstin; Daske, Holger; Pelger, Christoph; Zeff, Stephen A.",2025,"Becker, Kirstin; Daske, Holger; Pelger, Christoph; Zeff, Stephen A. (2025) “Political ideology shapes reporting regulation: SEC commissioners' views on IFRS for US issuers.” https://madoc.bib.uni-mannheim.de/68977/"
Fiscal%20Studies%20-%202025%20-%20Carneiro%20-%20Theoretical%20and%20empirical%20perspectives%20on%20the%20link%20between%20poverty%20parenting%20and-1.pdf,https://madoc.bib.uni-mannheim.de/69609/1/Fiscal%20Studies%20-%202025%20-%20Carneiro%20-%20Theoretical%20and%20empirical%20perspectives%20on%20the%20link%20between%20poverty%20parenting%20and-1.pdf,https://madoc.bib.uni-mannheim.de/69609/,"Theoretical and empirical perspectives on the link between poverty, parenting and children's outcomes","Carneiro, Pedro; Cattan, Sarah; Neves, Henrique",2025,"Carneiro, Pedro; Cattan, Sarah; Neves, Henrique (2025) “Theoretical and empirical perspectives on the link between poverty, parenting and children's outcomes.” https://madoc.bib.uni-mannheim.de/69609/"
Forester2020_Article_SurvivalProcessingModulatesThe.pdf,https://madoc.bib.uni-mannheim.de/54842/1/Forester2020_Article_SurvivalProcessingModulatesThe.pdf,https://madoc.bib.uni-mannheim.de/54842/,Survival processing modulates the neurocognitive mechanisms of episodic encoding,"Forester, Glen; Kroneisen, Meike; Erdfelder, Edgar; Kamp, Siri-Maria",2020,"Forester, Glen; Kroneisen, Meike; Erdfelder, Edgar; Kamp, Siri-Maria (2020) “Survival processing modulates the neurocognitive mechanisms of episodic encoding.” https://madoc.bib.uni-mannheim.de/54842/"
